PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"15829227","Cerebellar thalamic activity in the macaque monkey encodes the duration but not the force or velocity of wrist movement","Ivanusic JJ, Bourke DW, Xu ZM, Butler EG, Horne MK.","Brain Res. 2005 Apr 18;1041(2):181-97. doi: 10.1016/j.brainres.2005.02.005.","Ivanusic JJ","Brain Res","2005","2005/04/15","","","10.1016/j.brainres.2005.02.005"
"33258769","Reinforcement regulates timing variability in thalamus","Wang J, Hosseini E, Meirhaeghe N, Akkad A, Jazayeri M.","Elife. 2020 Dec 1;9:e55872. doi: 10.7554/eLife.55872.","Wang J","Elife","2020","2020/12/01","PMC7707818","","10.7554/eLife.55872"
"15607304","Direct and indirect effects of fetal irradiation on cortical gray and white matter volume in the macaque","Selemon LD, Wang L, Nebel MB, Csernansky JG, Goldman-Rakic PS, Rakic P.","Biol Psychiatry. 2005 Jan 1;57(1):83-90. doi: 10.1016/j.biopsych.2004.10.014.","Selemon LD","Biol Psychiatry","2005","2004/12/21","PMC4465560","NIHMS695465","10.1016/j.biopsych.2004.10.014"
"12761828","Thalamocortical and intracortical connections of monkey cingulate motor areas","Hatanaka N, Tokuno H, Hamada I, Inase M, Ito Y, Imanishi M, Hasegawa N, Akazawa T, Nambu A, Takada M.","J Comp Neurol. 2003 Jul 14;462(1):121-38. doi: 10.1002/cne.10720.","Hatanaka N","J Comp Neurol","2003","2003/05/23","","","10.1002/cne.10720"
"10414528","Comparing thalamocortical and corticothalamic microstructure and spatial reciprocity in the macaque ventral posterolateral nucleus (VPLc) and medial pulvinar","Darian-Smith C, Tan A, Edwards S.","J Comp Neurol. 1999 Jul 26;410(2):211-34.","Darian-Smith C","J Comp Neurol","1999","1999/07/22","","",""
"8511435","Cerebello- and pallido-thalamic pathways to areas 6 and 4 in the monkey","Jinnai K, Nambu A, Tanibuchi I, Yoshida S.","Stereotact Funct Neurosurg. 1993;60(1-3):70-9. doi: 10.1159/000100591.","Jinnai K","Stereotact Funct Neurosurg","1993","1993/01/01","","","10.1159/000100591"
"10805710","Thalamic and cortical contributions to neural plasticity after limb amputation","Florence SL, Hackett TA, Strata F.","J Neurophysiol. 2000 May;83(5):3154-9. doi: 10.1152/jn.2000.83.5.3154.","Florence SL","J Neurophysiol","2000","2000/05/11","","","10.1152/jn.2000.83.5.3154"
"3284442","Anatomical organization of macaque monkey striate visual cortex","Lund JS.","Annu Rev Neurosci. 1988;11:253-88. doi: 10.1146/annurev.ne.11.030188.001345.","Lund JS","Annu Rev Neurosci","1988","1988/01/01","","","10.1146/annurev.ne.11.030188.001345"
"31110242","Thalamus exhibits less sensory variability quenching than cortex","Poland E, Donner TH, Müller KM, Leopold DA, Wilke M.","Sci Rep. 2019 May 20;9(1):7590. doi: 10.1038/s41598-019-43934-9.","Poland E","Sci Rep","2019","2019/05/22","PMC6527544","","10.1038/s41598-019-43934-9"
"7204651","Projections of the cerebellar and dorsal column nuclei upon the thalamus of the rhesus monkey","Kalil K.","J Comp Neurol. 1981 Jan 1;195(1):25-50. doi: 10.1002/cne.901950105.","Kalil K","J Comp Neurol","1981","1981/01/01","","","10.1002/cne.901950105"
"17786219","Parallel driving and modulatory pathways link the prefrontal cortex and thalamus","Zikopoulos B, Barbas H.","PLoS One. 2007 Sep 5;2(9):e848. doi: 10.1371/journal.pone.0000848.","Zikopoulos B","PLoS One","2007","2007/09/06","PMC1952177","","10.1371/journal.pone.0000848"
"8511425","Action of the cerebello-thalamo-cortical projection upon visually initiated reaction-time hand movements in the monkey","Sasaki K, Gemba H.","Stereotact Funct Neurosurg. 1993;60(1-3):104-20. doi: 10.1159/000100596.","Sasaki K","Stereotact Funct Neurosurg","1993","1993/01/01","","","10.1159/000100596"
"3361000","Corticothalamic connections of paralimbic regions in the rhesus monkey","Yeterian EH, Pandya DN.","J Comp Neurol. 1988 Mar 1;269(1):130-46. doi: 10.1002/cne.902690111.","Yeterian EH","J Comp Neurol","1988","1988/03/01","","","10.1002/cne.902690111"
"32680937","Organization of Corollary Discharge Neurons in Monkey Medial Dorsal Thalamus","Cavanaugh J, McAlonan K, Wurtz RH.","J Neurosci. 2020 Aug 12;40(33):6367-6378. doi: 10.1523/JNEUROSCI.2344-19.2020. Epub 2020 Jul 17.","Cavanaugh J","J Neurosci","2020","2020/07/19","PMC7424873","","10.1523/JNEUROSCI.2344-19.2020"
"28685822","Thalamic connections of the core auditory cortex and rostral supratemporal plane in the macaque monkey","Scott BH, Saleem KS, Kikuchi Y, Fukushima M, Mishkin M, Saunders RC.","J Comp Neurol. 2017 Nov 1;525(16):3488-3513. doi: 10.1002/cne.24283. Epub 2017 Jul 24.","Scott BH","J Comp Neurol","2017","2017/07/08","PMC6370318","NIHMS1515935","10.1002/cne.24283"
"7523458","Contralateral thalamic projections predominantly reach transitional cortices in the rhesus monkey","Dermon CR, Barbas H.","J Comp Neurol. 1994 Jun 22;344(4):508-31. doi: 10.1002/cne.903440403.","Dermon CR","J Comp Neurol","1994","1994/06/22","","","10.1002/cne.903440403"
"26855336","Complementary subicular pathways to the anterior thalamic nuclei and mammillary bodies in the rat and macaque monkey brain","Christiansen K, Dillingham CM, Wright NF, Saunders RC, Vann SD, Aggleton JP.","Eur J Neurosci. 2016 Apr;43(8):1044-61. doi: 10.1111/ejn.13208. Epub 2016 Mar 6.","Christiansen K","Eur J Neurosci","2016","2016/02/09","PMC4855639","","10.1111/ejn.13208"
"30919013","Microstimulation-induced inhibition of thalamic reticular nucleus in non-human primates","Lymer J, Prescott IA, Levy R.","Exp Brain Res. 2019 Jun;237(6):1511-1520. doi: 10.1007/s00221-019-05526-x. Epub 2019 Mar 27.","Lymer J","Exp Brain Res","2019","2019/03/29","","","10.1007/s00221-019-05526-x"
"23223308","Drivers of the primate thalamus","Rovó Z, Ulbert I, Acsády L.","J Neurosci. 2012 Dec 5;32(49):17894-908. doi: 10.1523/JNEUROSCI.2815-12.2012.","Rovó Z","J Neurosci","2012","2012/12/11","PMC3672843","EMS50825","10.1523/JNEUROSCI.2815-12.2012"
"33904411","Neural effects of propofol-induced unconsciousness and its reversal using thalamic stimulation","Bastos AM, Donoghue JA, Brincat SL, Mahnke M, Yanar J, Correa J, Waite AS, Lundqvist M, Roy J, Brown EN, Miller EK.","Elife. 2021 Apr 27;10:e60824. doi: 10.7554/eLife.60824.","Bastos AM","Elife","2021","2021/04/27","PMC8079153","","10.7554/eLife.60824"
"33526664","Area-specific thalamocortical synchronization underlies the transition from motor planning to execution","Nashef A, Mitelman R, Harel R, Joshua M, Prut Y.","Proc Natl Acad Sci U S A. 2021 Feb 9;118(6):e2012658118. doi: 10.1073/pnas.2012658118.","Nashef A","Proc Natl Acad Sci U S A","2021","2021/02/02","PMC8017695","","10.1073/pnas.2012658118"
"20846328","Thalamic projections to the macaque caudal ventrolateral prefrontal areas 45A and 45B","Contini M, Baccarini M, Borra E, Gerbella M, Rozzi S, Luppino G.","Eur J Neurosci. 2010 Oct;32(8):1337-53. doi: 10.1111/j.1460-9568.2010.07390.x. Epub 2010 Sep 16.","Contini M","Eur J Neurosci","2010","2010/09/18","","","10.1111/j.1460-9568.2010.07390.x"
"25633471","Thalamic projections to visual and visuomotor areas (V6 and V6A) in the Rostral Bank of the parieto-occipital sulcus of the Macaque","Gamberini M, Bakola S, Passarelli L, Burman KJ, Rosa MG, Fattori P, Galletti C.","Brain Struct Funct. 2016 Apr;221(3):1573-89. doi: 10.1007/s00429-015-0990-2. Epub 2015 Jan 30.","Gamberini M","Brain Struct Funct","2016","2015/01/31","","","10.1007/s00429-015-0990-2"
"12466211","Anatomical substrates for functional columns in macaque monkey primary visual cortex","Lund JS, Angelucci A, Bressloff PC.","Cereb Cortex. 2003 Jan;13(1):15-24. doi: 10.1093/cercor/13.1.15.","Lund JS","Cereb Cortex","2003","2002/12/06","","","10.1093/cercor/13.1.15"
"9262198","Thalamic and temporal cortex input to medial prefrontal cortex in rhesus monkeys","Bachevalier J, Meunier M, Lu MX, Ungerleider LG.","Exp Brain Res. 1997 Jul;115(3):430-44. doi: 10.1007/pl00005713.","Bachevalier J","Exp Brain Res","1997","1997/07/01","","","10.1007/pl00005713"
"9674563","Nucleus- and cell-specific expression of NMDA and non-NMDA receptor subunits in monkey thalamus","Jones EG, Tighilet B, Tran BV, Huntsman MM.","J Comp Neurol. 1998 Aug 3;397(3):371-93. doi: 10.1002/(sici)1096-9861(19980803)397:3<371::aid-cne5>3.0.co;2-#.","Jones EG","J Comp Neurol","1998","1998/07/23","","","10.1002/(sici)1096-9861(19980803)397:3<371::aid-cne5>3.0.co;2-#"
"1761756","Diverse thalamic projections to the prefrontal cortex in the rhesus monkey","Barbas H, Henion TH, Dermon CR.","J Comp Neurol. 1991 Nov 1;313(1):65-94. doi: 10.1002/cne.903130106.","Barbas H","J Comp Neurol","1991","1991/11/01","","","10.1002/cne.903130106"
"1375095","Segregated thalamocortical pathways to inferior parietal and inferotemporal cortex in macaque monkey","Baleydier C, Morel A.","Vis Neurosci. 1992 May;8(5):391-405. doi: 10.1017/s0952523800004922.","Baleydier C","Vis Neurosci","1992","1992/05/01","","","10.1017/s0952523800004922"
"18253938","Thalamic projections to the posteromedial cortex in the macaque","Buckwalter JA, Parvizi J, Morecraft RJ, van Hoesen GW.","J Comp Neurol. 2008 Apr 10;507(5):1709-33. doi: 10.1002/cne.21647.","Buckwalter JA","J Comp Neurol","2008","2008/02/07","PMC3757573","NIHMS512008","10.1002/cne.21647"
"11489539","Cerebello-thalamo-cortical projections to the posterior parietal cortex in the macaque monkey","Amino Y, Kyuhou S, Matsuzaki R, Gemba H.","Neurosci Lett. 2001 Aug 17;309(1):29-32. doi: 10.1016/s0304-3940(01)02018-3.","Amino Y","Neurosci Lett","2001","2001/08/08","","","10.1016/s0304-3940(01)02018-3"
"410652","Organization of the thalamo-cortical connexions to the frontal lobe in the rhesus monkey","Kievit J, Kuypers HG.","Exp Brain Res. 1977 Sep 28;29(3-4):299-322. doi: 10.1007/BF00236173.","Kievit J","Exp Brain Res","1977","1977/09/28","","","10.1007/BF00236173"
"405084","An autoradiographic study of the projections of the pretectum in the rhesus monkey (Macaca mulatta): evidence for sensorimotor links to the thalamus and oculomotor nuclei","Benevento LA, Rezak M, Santos-Anderson.","Brain Res. 1977 May 27;127(2):197-218. doi: 10.1016/0006-8993(77)90536-4.","Benevento LA","Brain Res","1977","1977/05/27","","","10.1016/0006-8993(77)90536-4"
"2466060","Basal forebrain cholinergic and noncholinergic projections to the thalamus and brainstem in cats and monkeys","Parent A, Paré D, Smith Y, Steriade M.","J Comp Neurol. 1988 Nov 8;277(2):281-301. doi: 10.1002/cne.902770209.","Parent A","J Comp Neurol","1988","1988/11/08","","","10.1002/cne.902770209"
"26424892","Intracortical and Thalamocortical Connections of the Hand and Face Representations in Somatosensory Area 3b of Macaque Monkeys and Effects of Chronic Spinal Cord Injuries","Chand P, Jain N.","J Neurosci. 2015 Sep 30;35(39):13475-86. doi: 10.1523/JNEUROSCI.2069-15.2015.","Chand P","J Neurosci","2015","2015/10/02","PMC6605473","","10.1523/JNEUROSCI.2069-15.2015"
"6655500","The connections of the middle temporal visual area (MT) and their relationship to a cortical hierarchy in the macaque monkey","Maunsell JH, van Essen DC.","J Neurosci. 1983 Dec;3(12):2563-86. doi: 10.1523/JNEUROSCI.03-12-02563.1983.","Maunsell JH","J Neurosci","1983","1983/12/01","PMC6564662","","10.1523/JNEUROSCI.03-12-02563.1983"
"27778378","Morphology of visual sector thalamic reticular neurons in the macaque monkey suggests retinotopically specialized, parallel stream-mixed input to the lateral geniculate nucleus","Bragg EM, Fairless EA, Liu S, Briggs F.","J Comp Neurol. 2017 Apr 1;525(5):1273-1290. doi: 10.1002/cne.24134. Epub 2016 Nov 21.","Bragg EM","J Comp Neurol","2017","2016/10/26","PMC5841538","NIHMS947045","10.1002/cne.24134"
"24134130","The origin of projections from the posterior cingulate and retrosplenial cortices to the anterior, medial dorsal and laterodorsal thalamic nuclei of macaque monkeys","Aggleton JP, Saunders RC, Wright NF, Vann SD.","Eur J Neurosci. 2014 Jan;39(1):107-23. doi: 10.1111/ejn.12389. Epub 2013 Oct 18.","Aggleton JP","Eur J Neurosci","2014","2013/10/19","PMC4112842","","10.1111/ejn.12389"
"12088388","The relationship between MI and SMA afferents and cerebellar and pallidal efferents in the macaque monkey","Sakai ST, Inase M, Tanji J.","Somatosens Mot Res. 2002;19(2):139-48. doi: 10.1080/08990220220131533.","Sakai ST","Somatosens Mot Res","2002","2002/06/29","","","10.1080/08990220220131533"
"12143395","Anatomical origins of the classical receptive field and modulatory surround field of single neurons in macaque visual cortical area V1","Angelucci A, Levitt JB, Lund JS.","Prog Brain Res. 2002;136:373-88. doi: 10.1016/s0079-6123(02)36031-x.","Angelucci A","Prog Brain Res","2002","2002/07/30","","","10.1016/s0079-6123(02)36031-x"
"4044894","Corticothalamic connections of the posterior parietal cortex in the rhesus monkey","Yeterian EH, Pandya DN.","J Comp Neurol. 1985 Jul 15;237(3):408-26. doi: 10.1002/cne.902370309.","Yeterian EH","J Comp Neurol","1985","1985/07/15","","","10.1002/cne.902370309"
"3322716","Cerebellar inputs to motor cortex","Thach WT.","Ciba Found Symp. 1987;132:201-20. doi: 10.1002/9780470513545.ch13.","Thach WT","Ciba Found Symp","1987","1987/01/01","","","10.1002/9780470513545.ch13"
"1698837","Thalamic projections to sensorimotor cortex in the macaque monkey: use of multiple retrograde fluorescent tracers","Darian-Smith C, Darian-Smith I, Cheema SS.","J Comp Neurol. 1990 Sep 1;299(1):17-46. doi: 10.1002/cne.902990103.","Darian-Smith C","J Comp Neurol","1990","1990/09/01","","","10.1002/cne.902990103"
"7424595","Relationships of precentral premotor and prefrontal cortex to the mediodorsal and intralaminar nuclei of the monkey thalamus","Akert K, Hartmann-von Monakow K.","Acta Neurobiol Exp (Wars). 1980;40(1):7-25.","Akert K","Acta Neurobiol Exp (Wars)","1980","1980/01/01","","",""
"1756835","GABAergic interneurons and neuropil of the intralaminar thalamus: an immunohistochemical study in the rat and the cat, with notes in the monkey","Bentivoglio M, Spreafico R, Minciacchi D, Macchi G.","Exp Brain Res. 1991;87(1):85-95. doi: 10.1007/BF00228509.","Bentivoglio M","Exp Brain Res","1991","1991/01/01","","","10.1007/BF00228509"
"14511340","Differential thalamic connections of the posteroventral and dorsal posterior cingulate gyrus in the monkey","Shibata H, Yukie M.","Eur J Neurosci. 2003 Sep;18(6):1615-26. doi: 10.1046/j.1460-9568.2003.02868.x.","Shibata H","Eur J Neurosci","2003","2003/09/27","","","10.1046/j.1460-9568.2003.02868.x"
"31151774","Rapid Plasticity of Higher-Order Thalamocortical Inputs during Sensory Learning","Audette NJ, Bernhard SM, Ray A, Stewart LT, Barth AL.","Neuron. 2019 Jul 17;103(2):277-291.e4. doi: 10.1016/j.neuron.2019.04.037. Epub 2019 May 28.","Audette NJ","Neuron","2019","2019/06/02","PMC10038228","NIHMS1750551","10.1016/j.neuron.2019.04.037"
"23529193","Amygdalar connections of the macaque areas 45A and 45B","Gerbella M, Baccarini M, Borra E, Rozzi S, Luppino G.","Brain Struct Funct. 2014 May;219(3):831-42. doi: 10.1007/s00429-013-0538-2. Epub 2013 Mar 26.","Gerbella M","Brain Struct Funct","2014","2013/03/27","","","10.1007/s00429-013-0538-2"
"1150923","Some aspects of the organization of the thalamic reticular complex","Jones EG.","J Comp Neurol. 1975 Aug 1;162(3):285-308. doi: 10.1002/cne.901620302.","Jones EG","J Comp Neurol","1975","1975/08/01","","","10.1002/cne.901620302"
"27013680","Effects of Optogenetic Activation of Corticothalamic Terminals in the Motor Thalamus of Awake Monkeys","Galvan A, Hu X, Smith Y, Wichmann T.","J Neurosci. 2016 Mar 23;36(12):3519-30. doi: 10.1523/JNEUROSCI.4363-15.2016.","Galvan A","J Neurosci","2016","2016/03/26","PMC4804009","","10.1523/JNEUROSCI.4363-15.2016"
"3950095","Projections of thalamic gustatory and lingual areas in the monkey, Macaca fascicularis","Pritchard TC, Hamilton RB, Morse JR, Norgren R.","J Comp Neurol. 1986 Feb 8;244(2):213-28. doi: 10.1002/cne.902440208.","Pritchard TC","J Comp Neurol","1986","1986/02/08","","","10.1002/cne.902440208"
"8227513","Thalamic projections to areas 3a, 3b, and 4 in the sensorimotor cortex of the mature and infant macaque monkey","Darian-Smith C, Darian-Smith I.","J Comp Neurol. 1993 Sep 8;335(2):173-99. doi: 10.1002/cne.903350204.","Darian-Smith C","J Comp Neurol","1993","1993/09/08","","","10.1002/cne.903350204"
"27775722","Gravity orientation tuning in macaque anterior thalamus","Laurens J, Kim B, Dickman JD, Angelaki DE.","Nat Neurosci. 2016 Dec;19(12):1566-1568. doi: 10.1038/nn.4423. Epub 2016 Oct 24.","Laurens J","Nat Neurosci","2016","2016/11/08","PMC5791896","NIHMS819449","10.1038/nn.4423"
"1112928","The ascending projections of the superior colliculus in the rhesus monkey (Macaca mulatta)","Benevento LA, Fallon JH.","J Comp Neurol. 1975 Apr 1;160(3):339-61. doi: 10.1002/cne.901600306.","Benevento LA","J Comp Neurol","1975","1975/04/01","","","10.1002/cne.901600306"
"7514207","Medial lemniscal and spinal projections to the macaque thalamus: an electron microscopic study of differing GABAergic circuitry serving thalamic somatosensory mechanisms","Ralston HJ 3rd, Ralston DD.","J Neurosci. 1994 May;14(5 Pt 1):2485-502. doi: 10.1523/JNEUROSCI.14-05-02485.1994.","Ralston HJ 3rd","J Neurosci","1994","1994/05/01","PMC6577493","","10.1523/JNEUROSCI.14-05-02485.1994"
"18945912","Large-scale reorganization in the somatosensory cortex and thalamus after sensory loss in macaque monkeys","Jain N, Qi HX, Collins CE, Kaas JH.","J Neurosci. 2008 Oct 22;28(43):11042-60. doi: 10.1523/JNEUROSCI.2334-08.2008.","Jain N","J Neurosci","2008","2008/10/24","PMC2613515","NIHMS75265","10.1523/JNEUROSCI.2334-08.2008"
"12007457","Abnormalities of thalamic volume and shape detected in fetally irradiated rhesus monkeys with high dimensional brain mapping","Schindler MK, Wang L, Selemon LD, Goldman-Rakic PS, Rakic P, Csernansky JG.","Biol Psychiatry. 2002 May 15;51(10):827-37. doi: 10.1016/s0006-3223(01)01341-5.","Schindler MK","Biol Psychiatry","2002","2002/05/15","","","10.1016/s0006-3223(01)01341-5"
"7545406","Acetylcholinesterase histochemistry in the macaque thalamus reveals territories selectively connected to frontal, parietal and temporal association cortices","Cavada C, Compañy T, Hernández-González A, Reinoso-Suárez F.","J Chem Neuroanat. 1995 May;8(4):245-57. doi: 10.1016/0891-0618(95)00050-h.","Cavada C","J Chem Neuroanat","1995","1995/05/01","","","10.1016/0891-0618(95)00050-h"
"10363716","Origin of thalamic inputs to the primary, premotor, and supplementary motor cortical areas and to area 46 in macaque monkeys: a multiple retrograde tracing study","Rouiller EM, Tanne J, Moret V, Boussaoud D.","J Comp Neurol. 1999 Jun 21;409(1):131-52. doi: 10.1002/(sici)1096-9861(19990621)409:1<131::aid-cne10>3.0.co;2-a.","Rouiller EM","J Comp Neurol","1999","1999/06/11","","","10.1002/(sici)1096-9861(19990621)409:1<131::aid-cne10>3.0.co;2-a"
