INDEX,MACAQUE_COUNT_IN_500,OTHER_SPIECIES_COUNT_IN_500,TC_CT_COUNT_IN_500,THALAM_COUNT_IN_500,CORTEX_COUNT_IN_500,INJECT_COUNT_IN_500,METHOD_COUNT_IN_500,CONNECT_COUNT_IN_500,RELEVANCE_INDEX
3128,9,11,0,24,2,4,6,19,75.3260358552153
1153,3,0,1,10,17,2,10,10,75.23033528630191
45,4,4,0,23,3,6,11,11,75.18113627840698
80,5,0,0,26,15,2,7,16,74.72907335908931
531,1,0,6,25,19,0,6,8,74.72329575592975
77,6,1,1,14,17,0,8,12,74.68551448264284
909,0,4,8,21,32,2,7,5,74.47379051847571
101,5,0,0,28,0,5,10,8,74.28349764834556
2510,3,0,0,13,3,9,12,9,73.90099330008272
20,1,0,4,15,16,2,5,13,73.88304935371868
351,5,1,1,6,15,1,10,9,73.78309141684176
1001,0,0,7,28,25,7,3,5,73.78251737005594
232,3,0,4,19,18,1,2,16,73.77636088329223
96,2,0,3,55,15,1,3,6,73.68741235719989
2472,13,2,0,18,5,0,7,21,73.6652176186461
192,2,1,1,5,8,6,12,12,73.65158640480986
1072,0,0,11,17,27,1,5,7,73.58698952783102
28,2,0,1,27,4,2,7,20,73.21853724133395
2879,9,2,0,13,10,1,12,3,73.19242839572016
151,2,3,6,11,21,1,4,6,73.06339364607764
387,4,1,0,10,27,2,11,16,72.89688530151253
1463,6,6,1,10,7,4,4,14,72.85874188426693
773,0,1,5,16,23,2,9,8,72.85720799798725
2327,6,0,0,6,14,0,14,40,72.82597084916914
730,0,0,3,7,17,11,10,7,72.68270543735363
2862,0,0,3,7,17,11,10,7,72.68270543735363
1238,4,0,0,10,9,10,6,16,72.63724356103458
2583,7,0,0,11,19,7,4,9,72.60975532456865
2711,12,2,0,13,11,1,5,15,72.41707799539917
491,36,0,0,36,36,0,0,36,72.21835825288449
2418,1,0,5,21,13,1,4,9,72.05026373002497
157,15,0,1,10,24,0,2,13,71.9878819172524
425,3,1,1,7,15,5,6,11,71.91627217517456
249,1,0,1,11,18,12,6,10,71.65388891472772
39,4,0,1,15,18,2,4,10,71.55879888554891
1304,10,1,0,8,14,1,6,18,71.44618316716146
57,2,4,1,10,2,6,10,10,71.3970470128299
965,0,4,3,12,23,3,10,16,70.84442471252018
2548,5,0,0,11,0,5,11,8,70.74166551724949
830,28,0,0,56,28,0,0,28,70.72469378896986
2309,25,0,0,25,150,0,0,50,70.70148464212505
1869,2,2,2,5,16,12,4,7,70.656308055635
2498,7,0,0,15,9,1,8,6,70.53824133731322
1284,7,1,1,7,18,2,3,12,70.369678835494
636,2,0,3,17,16,1,4,6,70.36519744977993
97,4,4,13,17,38,0,0,12,70.34934466218422
92,1,0,1,12,34,2,9,13,70.2344708836122
476,2,0,0,2,20,9,15,14,69.93119249614317
950,5,6,0,13,7,4,7,12,69.86230732601467
83,2,0,0,11,8,5,12,10,69.60708202944429
1134,0,7,4,13,11,2,9,18,69.5322668410938
41,2,0,4,22,24,0,2,21,69.4549749871603
1193,1,0,3,3,12,5,6,14,69.39783537732092
3326,8,2,0,2,12,1,15,8,69.2798905001639
43,4,0,2,8,14,2,2,21,69.23503699000422
114,2,0,0,11,10,6,9,14,69.0859989597415
2927,3,0,0,10,8,7,10,3,68.78191264960576
100,2,0,3,13,9,0,5,14,68.69126862753157
218,2,2,2,31,29,2,2,10,68.67757791043378
1031,0,2,3,36,10,3,5,14,68.58792853253529
124,4,0,1,15,3,2,4,10,68.44250964945581
211,9,0,8,8,10,0,0,11,68.2347300849445
732,4,0,1,14,19,1,3,15,68.20401216327747
3058,2,2,1,11,26,3,5,11,68.13897583180511
27,6,1,1,12,10,2,2,15,68.11491394523806
1524,0,2,2,14,14,11,8,4,68.06895476533296
161,3,0,0,9,3,3,13,8,68.06217663216961
367,4,0,3,3,18,2,3,6,67.97140800117765
53,2,0,2,14,21,2,3,9,67.95834201911148
7,3,0,3,12,15,3,1,12,67.65360313776857
1173,1,0,1,12,5,6,6,14,67.58401217609902
1755,2,0,0,12,20,10,4,22,67.39025268555594
2567,0,0,6,12,11,2,5,8,67.25599144506657
383,8,1,0,19,11,1,3,17,67.22736804783534
98,3,0,2,15,5,0,4,18,67.22322510937535
403,5,3,0,16,1,4,7,7,67.16359101657
33,2,0,1,28,18,1,4,9,67.11082210666868
127,3,0,2,28,12,0,2,21,67.0746946094915
145,3,0,3,12,29,0,2,17,67.01026693339941
752,1,3,0,14,10,6,12,12,66.9551113878639
608,0,2,4,25,10,2,5,11,66.94741615636215
203,4,0,1,19,23,0,3,17,66.8946788432937
128,1,0,1,13,21,3,6,10,66.82457428053952
2916,3,0,0,7,7,3,10,11,66.78417888590492
3445,7,4,0,5,8,3,10,2,66.74448540476445
191,0,2,4,23,9,2,6,7,66.6816937323339
115,6,0,2,17,19,0,1,18,66.6533364569218
1385,2,0,2,7,9,2,5,7,66.62360442841008
529,9,0,5,15,9,0,0,10,66.60524523780312
345,3,2,0,8,4,3,13,7,66.52969976087164
289,3,0,0,22,11,1,6,19,66.4222622044355
473,2,0,2,33,34,0,2,17,66.37198267979142
193,3,0,0,10,8,5,6,12,66.35961603894121
286,0,1,0,24,18,5,14,19,66.3166060799383
164,2,0,0,8,8,8,8,9,66.23281886706008
62,4,0,1,12,29,0,4,11,66.20209155427746
3977,4,2,1,6,14,2,4,11,66.11505030579889
81,3,2,5,16,13,0,2,4,65.94054401830634
2715,2,3,1,13,7,1,7,12,65.84046945457932
3172,3,3,0,33,4,5,3,24,65.8056961299718
71,5,0,0,22,10,4,3,5,65.67626789857663
2518,7,4,1,11,5,0,4,11,65.67360057106482
901,2,0,8,23,27,1,0,8,65.5704564669418
122,2,1,4,15,11,1,2,6,65.50970097788384
2812,0,0,3,12,9,4,8,3,65.47117900338705
88,2,0,0,13,11,4,8,7,65.4089827949056
758,1,0,4,16,24,1,2,10,65.27521390783387
2435,3,2,0,11,14,1,9,13,65.01372379526119
90,1,0,2,11,20,1,5,10,65.00818923014279
1179,0,3,2,16,9,5,6,14,64.91311487183042
2503,5,0,0,8,17,3,4,10,64.90399784308954
637,0,1,12,33,30,0,1,16,64.88723526387463
35,2,0,0,20,3,5,5,19,64.84491265662079
3230,9,0,0,6,0,3,3,42,64.83341743909608
54,2,1,0,7,23,3,8,17,64.62112392786636
833,4,0,0,9,17,2,7,4,64.50383870254477
2447,2,0,2,23,1,1,3,13,64.49466078906623
483,3,0,1,3,20,4,3,17,64.39618054490256
256,3,0,0,3,7,7,12,2,64.29583664917689
1125,0,1,2,12,13,3,7,14,64.24587497836379
3160,2,0,1,6,1,2,8,12,64.19359508776436
1110,2,0,0,15,13,1,9,11,64.07348793921471
3134,4,1,0,10,21,1,6,11,63.9523505572064
669,4,1,0,10,16,2,5,11,63.92251108087045
2858,6,1,0,7,13,0,7,17,63.90680736810973
66,4,0,0,9,3,1,7,20,63.77361194431937
407,4,8,1,11,4,1,4,12,63.72699852593778
3588,2,2,0,7,13,2,13,7,63.68479233017533
176,1,0,0,22,3,2,11,13,63.64083153755131
1045,2,0,3,18,6,0,2,20,63.58277189167419
1042,2,0,3,18,6,0,2,20,63.58277189167419
658,3,1,0,0,24,6,13,12,63.422520194189126
242,1,2,4,12,20,2,2,6,63.157945081214464
1322,1,0,0,15,5,5,10,6,63.15341487654439
150,2,0,1,9,3,5,3,14,63.149000440136376
1135,0,1,2,25,36,1,4,25,63.1396988627222
1039,4,1,2,14,9,1,1,14,63.05413433366712
5488,0,3,4,7,7,1,9,10,62.949448206115264
2817,5,0,0,4,12,3,5,9,62.85150474623626
171,4,4,0,11,2,2,7,11,62.84889584768604
868,2,1,2,13,33,0,3,11,62.84476985067377
1509,3,2,0,8,17,3,6,9,62.829526300138944
957,1,0,1,19,30,2,3,12,62.76043251486322
904,0,3,6,24,10,3,2,6,62.71830193881748
618,0,7,6,10,19,2,3,13,62.63377790335837
8002,4,0,1,5,11,1,3,15,62.60090725637472
30,1,0,1,14,14,2,6,4,62.59977169011036
198,3,0,2,15,12,1,1,15,62.55688269912051
276,5,0,6,9,28,0,0,9,62.531968586759
2461,0,1,0,19,23,8,10,9,62.51445274155285
305,2,0,0,23,14,1,5,18,62.50913997320484
572,7,2,0,4,1,3,6,9,62.42761562655536
698,4,0,0,8,1,4,7,4,62.13671508841316
1639,1,0,0,18,2,4,8,14,61.9944772176072
786,3,0,1,19,9,0,3,12,61.93603865413992
660,0,4,2,13,15,2,6,18,61.90262893819585
116,1,0,0,15,4,2,9,21,61.805330975022514
288,2,0,0,11,17,3,5,12,61.73531422167803
1023,7,12,1,9,23,0,2,12,61.7109419496681
3355,1,0,0,14,14,3,9,6,61.68287639602077
469,4,1,0,3,13,2,8,8,61.66779935732243
117,3,2,2,18,13,0,2,9,61.64464192993785
945,0,2,2,33,8,2,5,7,61.562743136426846
264,2,2,3,10,19,1,1,20,61.26217014188118
2549,3,17,2,13,4,1,4,2,61.22880910607339
4487,3,1,0,6,15,1,9,7,61.17443607817478
360,3,0,2,22,15,0,1,14,61.1273374309114
976,1,0,2,17,2,2,3,10,61.11636893203217
1496,1,0,0,15,3,5,8,8,61.08972099054927
2412,4,0,0,5,17,9,2,12,61.02781641030955
4110,3,0,2,3,20,1,2,17,60.99255724209562
433,0,0,2,23,8,1,5,15,60.97193795489289
7606,0,6,7,17,8,0,3,22,60.96423947088267
366,3,7,0,23,7,0,7,15,60.944835888136176
3000,2,0,0,9,4,5,5,15,60.912082381659694
3403,3,4,0,16,0,2,9,6,60.77621523949284
721,2,10,2,15,13,0,3,14,60.70250298549879
791,4,0,0,1,16,4,8,5,60.62125545847002
1011,0,1,1,34,33,1,5,14,60.57526718010581
615,1,0,0,13,10,4,5,24,60.54396072832815
686,0,2,1,20,3,2,10,10,60.4937604175076
82,2,4,2,14,18,1,2,7,60.48212023929236
1376,2,1,0,5,17,2,9,9,60.45918422031691
777,0,4,8,14,19,0,2,23,60.41480779127206
95,2,1,1,11,18,3,2,9,60.36320869025617
1302,0,1,1,23,2,4,7,10,60.36110915147943
4,3,1,0,29,30,0,4,10,60.33182269065615
567,6,0,0,14,12,0,3,15,60.30996098890551
593,6,0,0,9,0,1,5,13,60.272529539449415
315,5,2,0,2,15,1,7,14,60.24152321433726
761,0,2,4,13,12,0,5,19,60.225743711614776
3532,3,1,0,5,17,0,11,11,60.21312373981557
953,0,0,3,6,18,3,5,6,60.168169259854295
5,5,4,0,12,1,1,8,3,60.11606268779561
226,1,1,0,2,9,3,16,16,60.099801532698415
2534,5,2,0,13,15,0,5,8,60.068714920457495
2756,1,1,2,8,12,4,2,12,60.068629634560985
38,3,0,0,12,6,0,7,17,60.04504138710407
1624,2,9,0,12,3,2,9,10,59.99347149491064
2890,1,0,3,11,9,1,2,12,59.970825713591886
650,3,0,0,13,39,0,4,22,59.936850939631526
2727,1,9,0,10,4,1,15,18,59.86217896416232
2669,10,0,0,15,3,1,1,18,59.84500970732089
978,0,5,2,24,14,1,5,12,59.78302161146335
2,2,0,1,12,4,1,4,7,59.75965695663668
844,3,3,0,6,27,1,7,8,59.72243406731273
580,3,0,0,1,9,6,7,10,59.65150168045676
103,2,0,3,8,14,1,1,13,59.56566948401048
1314,0,0,1,4,22,3,9,15,59.52473870188752
136,2,0,0,36,3,5,2,12,59.45306947734799
530,26,0,0,26,0,0,0,27,59.43416652059055
210,1,0,0,19,4,2,7,13,59.33365784722229
2903,4,0,2,9,6,0,2,6,59.30910110794999
1221,0,3,1,19,5,3,8,7,59.24939995470679
91,3,0,0,53,5,2,2,5,59.2458455201822
3591,4,3,0,7,35,4,2,13,59.22281478622988
257,2,0,5,22,25,0,0,14,59.221532337956994
2772,0,0,1,7,2,5,9,12,59.205400439800194
1106,0,2,6,12,17,1,3,4,59.122972756285975
173,2,2,2,9,28,1,1,23,59.05251980908029
1002,4,1,5,9,22,0,0,13,59.01991252173591
156,1,2,1,20,6,3,3,7,58.91150385109641
547,4,0,0,7,4,1,5,12,58.788641325073264
3139,1,4,0,7,5,5,9,11,58.74212876546538
687,3,1,1,9,12,3,1,14,58.73118663063725
12,3,0,0,13,5,1,4,16,58.70150425704069
2878,2,0,0,15,14,6,3,4,58.6859749938622
3062,5,0,0,8,17,4,1,19,58.6503192831859
206,4,1,0,7,48,1,3,12,58.605607834784735
741,0,5,1,10,20,2,8,13,58.60071278135862
283,2,0,0,13,15,0,6,22,58.592171117577536
10479,2,0,0,0,15,5,13,8,58.47234470546218
8,1,0,2,12,13,4,1,11,58.45383745595271
2554,5,0,0,21,12,0,2,18,58.322145498175615
4668,0,1,19,21,13,0,0,15,58.31526864772141
47,3,0,1,18,32,0,1,18,58.27441417866229
3444,1,1,1,5,6,5,5,5,58.27208452099485
975,0,2,6,17,21,0,3,5,58.23265491696554
2464,0,0,1,25,9,3,4,10,58.04666143003052
5544,0,1,4,17,4,0,7,3,58.025265058288106
177,2,0,7,18,9,0,0,9,58.01565866428189
4495,3,4,0,3,2,4,8,8,57.99331114924183
941,6,0,0,3,8,3,4,3,57.96975646412515
2658,2,1,0,7,3,1,8,19,57.887950633584005
2598,1,1,0,8,0,7,11,5,57.84600012568395
270,2,0,0,17,0,1,7,14,57.82228359906664
34,1,0,1,12,13,1,3,16,57.79412460390439
337,2,0,0,14,11,1,5,9,57.78727306583056
1363,1,0,1,2,39,1,6,14,57.78275195942682
58,2,1,0,15,4,1,6,11,57.75435248490511
3319,2,0,0,10,16,3,5,3,57.64997552002505
910,0,0,2,47,11,0,4,7,57.64464499017707
2621,5,0,0,7,3,6,2,6,57.64079520204311
820,2,0,0,25,9,2,2,21,57.6340874528732
1126,0,3,4,9,15,1,4,7,57.564627324851145
148,5,2,0,10,7,0,4,16,57.561361007473614
723,7,0,1,17,2,0,1,7,57.54476701985382
2535,0,1,7,8,20,1,2,6,57.46602523501312
561,4,0,0,12,17,0,6,2,57.45480778399848
2725,4,0,0,8,23,0,4,13,57.44816078490477
2901,2,1,0,4,0,4,9,13,57.33037774924839
1307,1,0,1,7,20,2,4,5,57.31191517041065
347,3,0,0,5,9,1,5,16,57.3098817705762
3736,1,3,0,8,10,3,11,3,57.266512263596525
4039,0,0,2,38,24,0,4,5,57.2113402990909
787,1,9,0,27,14,0,9,11,57.18658054499031
1421,3,4,4,19,23,0,0,11,57.13737380093565
235,1,1,0,16,22,1,6,11,57.05493711989574
577,6,3,0,3,16,1,3,19,56.98658195780573
1181,4,3,2,3,17,1,1,14,56.9277812829998
1131,0,5,2,7,29,5,3,12,56.91055491890032
1791,2,1,0,6,10,4,4,13,56.87705767235173
106,2,2,0,13,1,1,7,14,56.85339353011389
340,3,0,0,17,9,1,3,8,56.84032583267512
2539,6,0,0,5,8,0,4,13,56.823899104552616
460,3,0,6,14,12,0,0,4,56.82050855948847
2945,0,0,3,6,8,4,3,9,56.80483196349946
1393,3,6,0,2,7,2,9,8,56.67956409413348
1248,0,0,0,12,6,6,9,10,56.665654579030445
121,1,0,1,9,11,1,3,19,56.66155871040574
368,1,0,0,29,0,2,6,12,56.58446972018852
438,0,0,10,34,19,0,0,18,56.58047452003808
3623,2,2,0,5,0,2,13,6,56.56767313081234
711,3,0,0,3,8,0,8,22,56.56759299262044
3001,2,0,0,11,17,4,2,15,56.54247826698437
1699,5,2,0,16,3,1,3,5,56.4615957678161
3125,0,0,2,5,25,6,4,3,56.443926261841575
935,2,3,2,15,8,0,2,8,56.4211407968034
9670,0,0,0,6,28,6,9,10,56.41322989886165
7795,4,0,0,3,16,0,7,9,56.39444831383339
581,2,4,4,23,14,0,0,23,56.31159514357599
734,7,4,0,2,13,1,3,19,56.27202994159593
2763,1,4,2,8,32,1,2,11,56.19387352830535
26,1,2,0,16,27,0,7,17,56.128865948049686
841,3,6,2,6,18,1,1,10,56.11247857922842
949,0,3,4,10,9,2,2,15,56.09968180994205
1323,2,0,3,4,11,0,4,1,56.03989002564735
451,1,2,0,20,19,1,4,22,56.01353392758461
16,7,0,0,20,7,0,1,18,55.94069943187391
3527,12,12,0,2,0,4,3,5,55.86301724154795
79,2,0,2,11,19,0,1,16,55.81935540717828
261,3,0,3,15,15,0,0,17,55.80512355176477
3215,5,1,0,3,0,5,4,8,55.80076951981
1243,4,4,0,12,14,0,4,9,55.72792280474215
370,3,0,0,5,11,1,4,15,55.66943545077525
2574,2,4,0,7,0,4,8,6,55.631058465344815
335,1,1,1,10,7,2,3,9,55.58191621151208
1324,3,0,0,14,4,1,4,5,55.55746387640305
324,3,0,4,14,12,0,0,9,55.53522773495617
1195,0,6,0,25,4,4,8,13,55.50005569029877
1089,9,0,0,2,6,3,4,0,55.43658360133209
318,2,0,0,5,0,3,7,12,55.3656555276038
635,0,2,0,24,3,2,10,14,55.36452033254356
385,2,1,0,6,11,1,5,19,55.362867166715965
439,1,1,7,14,30,0,0,13,55.35813744516498
1371,7,4,0,0,44,1,4,19,55.3456143317076
851,3,1,1,19,14,0,1,13,55.344673800658015
951,14,1,0,7,1,0,3,2,55.32963737718446
522,6,0,3,24,18,0,0,0,55.305302184425926
681,2,0,0,1,20,4,6,10,55.24088053604642
905,2,1,5,27,20,0,0,3,55.11952090808423
1021,2,5,4,16,6,0,1,4,55.10641510308751
6,2,5,4,16,6,0,1,4,55.10641510308751
895,38,0,0,39,0,0,0,0,55.08001373186615
664,1,1,1,8,13,0,5,12,55.04647674121573
2948,3,3,0,3,14,3,4,10,55.043758206218456
252,3,0,0,4,41,0,4,23,55.014013025320985
262,4,3,0,6,7,2,4,4,55.0122728968412
1165,1,2,1,6,1,2,7,4,54.99596702636846
808,2,3,1,20,9,1,2,3,54.96982457860637
823,3,0,0,0,31,10,3,15,54.96460155870847
316,2,5,4,13,7,0,1,5,54.94966248651362
304,2,1,0,0,43,1,10,23,54.84020509578495
1189,0,2,5,20,26,0,1,21,54.83786748991261
209,5,0,0,15,3,0,2,21,54.81237727247529
3288,8,0,0,4,4,0,4,5,54.707968692426064
1088,0,3,5,8,5,1,3,7,54.66794629533601
446,5,0,0,1,8,1,5,11,54.615830294197
1499,1,0,0,11,15,2,4,14,54.6127736700072
3381,2,1,0,0,14,3,9,18,54.499715781364806
881,0,0,1,7,13,3,7,3,54.49156447898663
2805,0,0,1,7,13,3,7,3,54.49156447898663
3597,0,0,0,21,0,10,7,7,54.4774286726213
1171,3,0,0,8,18,1,2,21,54.46293060576866
3353,3,1,0,2,5,6,4,7,54.308631307092696
258,3,0,0,10,6,1,3,10,54.26660560569513
867,0,0,13,28,8,0,0,8,54.21317533276605
3164,3,0,0,17,8,1,3,3,54.19681415271047
8372,3,0,0,0,1,6,8,10,54.14472030935267
5723,4,0,0,1,11,4,3,12,54.13490957247075
9851,2,0,0,1,8,5,5,15,54.04046614929343
1471,3,0,0,2,24,2,5,4,54.03272657719926
1041,0,0,3,23,27,1,1,10,54.00851531008333
44,1,0,1,14,10,0,3,13,53.97910076235138
774,1,6,0,5,20,6,5,7,53.91887394072788
1340,0,4,0,9,7,2,13,13,53.86317736423471
3144,0,0,0,28,4,1,10,7,53.73836823062351
4570,18,2,0,4,2,0,2,3,53.735197612543786
1628,0,0,1,14,10,0,6,19,53.71381166792235
3467,2,0,0,10,4,4,6,0,53.70076612826478
785,0,4,2,20,19,2,2,8,53.6616197720024
269,0,3,2,17,36,0,3,16,53.63610678369803
1020,2,1,2,10,3,0,2,8,53.618960297723646
603,2,0,0,14,37,3,1,13,53.58166181168959
308,1,0,0,4,8,0,12,16,53.522244129226415
199,5,1,0,15,3,0,2,17,53.51721800552888
546,2,0,0,5,8,2,3,25,53.46966405609771
631,3,0,5,6,20,0,0,6,53.4368643713688
645,2,0,0,2,2,3,6,15,53.384748370229794
1447,1,2,3,8,10,0,2,9,53.37159472607132
5626,3,0,0,3,18,0,6,10,53.33608068407948
3291,2,1,0,5,12,1,5,11,53.21972231162877
1108,0,2,1,17,3,1,6,10,53.17583024039992
3973,3,2,1,9,21,0,1,18,53.15560224291588
2492,2,0,0,0,14,2,8,21,53.140657865663215
5672,0,0,5,8,12,1,1,17,53.10193927597239
356,4,0,0,2,5,1,4,15,53.04884069999773
2843,2,0,0,10,10,0,8,2,53.03947243563622
565,3,0,0,0,21,3,5,14,53.018245619102174
48,1,0,4,7,12,1,2,0,53.004816142743536
139,1,0,1,6,8,1,4,5,52.9223369459728
740,0,2,6,22,3,0,1,20,52.87558812254027
604,2,0,0,17,13,1,2,12,52.86280319725787
607,8,0,4,4,28,0,0,0,52.84840611984665
5301,0,0,2,13,20,1,2,14,52.84646380299169
517,0,0,9,30,14,0,0,10,52.80557317296572
3939,4,6,0,9,16,0,4,5,52.79747866039352
1321,2,0,2,16,24,0,0,29,52.77965628836614
311,1,0,0,6,17,2,6,5,52.7692074082462
1070,0,1,2,19,10,0,3,18,52.76368816818607
107,1,0,0,20,0,2,5,10,52.75842594823277
2712,2,0,0,7,15,1,3,16,52.75682758572712
1111,2,1,1,3,22,2,2,6,52.743822526365946
1474,1,4,0,2,7,7,8,5,52.71871030931111
442,0,3,6,7,8,0,2,18,52.68390381668527
248,1,0,1,7,18,0,3,17,52.683088162818365
1150,6,0,0,11,15,0,1,15,52.67805015629149
9220,0,1,2,4,17,1,4,19,52.66822063188669
3041,0,0,6,7,32,0,2,4,52.66376094586867
1059,1,0,8,17,6,0,0,5,52.62267507423726
310,0,8,3,10,16,0,4,10,52.609687028703085
377,0,0,1,31,23,0,3,14,52.60335319479952
3252,4,0,0,3,2,0,6,13,52.59934898667558
2971,4,0,0,3,11,2,2,14,52.598999162844734
281,3,0,0,5,21,1,3,7,52.57083000309396
4003,0,0,13,23,20,0,0,3,52.528770406698825
2896,2,4,1,7,7,0,3,12,52.42203925518882
2330,0,0,0,1,11,1,24,15,52.407809520576805
1671,2,3,0,3,1,4,4,30,52.3611249922475
970,0,3,0,19,7,2,7,15,52.35649311686799
330,2,2,0,3,14,1,6,10,52.35360601756483
3512,1,5,0,6,8,2,6,14,52.34002577352072
78,2,2,0,21,0,3,2,19,52.24751437774709
605,2,0,0,1,5,3,10,2,52.24163912752443
4378,0,0,14,22,13,0,0,3,52.19497083325803
85,7,0,0,8,2,0,2,10,52.15757158589189
728,3,3,0,13,19,0,3,8,52.11801778847085
1991,0,2,2,2,13,1,7,10,52.112523838577246
482,2,0,0,2,0,2,8,14,52.06864215003103
4249,4,2,0,0,12,6,3,15,52.03592607379078
648,3,1,5,10,5,0,0,5,52.035664833051634
472,5,2,3,9,5,0,0,7,52.0166950432772
2601,31,0,0,31,0,0,0,0,51.986038541995896
6121,2,0,0,8,20,1,2,22,51.919632086077314
2922,7,0,0,14,6,1,1,2,51.91953129482354
87,3,0,0,15,13,0,2,13,51.9072967571552
597,4,1,0,3,14,3,2,7,51.90472346890499
1456,0,3,0,4,13,4,10,13,51.88232413928111
5870,3,1,0,0,18,4,4,17,51.87135834917184
1874,0,0,1,9,5,1,6,9,51.86050888136079
992,1,0,0,22,0,2,5,6,51.85732946803223
55,1,2,0,19,14,0,4,22,51.72848305903417
819,3,0,0,16,3,2,1,16,51.72577233482842
5451,2,2,0,0,24,2,8,13,51.70774145329791
534,0,0,1,6,8,2,5,10,51.65981365956466
1054,0,0,1,20,8,0,9,1,51.6538256205093
3223,0,0,0,9,28,7,4,9,51.6468592366655
694,3,0,0,17,19,0,2,7,51.53071445950832
569,1,5,1,11,6,0,3,21,51.52360866029534
3347,8,0,0,4,12,0,2,5,51.51073534482103
1152,3,5,0,14,0,1,3,16,51.43975469364919
358,1,1,0,9,10,0,8,9,51.42704168795081
5114,0,0,7,33,15,0,0,11,51.42611543372273
1535,0,2,3,7,15,2,2,7,51.4242254304707
1579,1,1,0,4,9,2,7,7,51.41648585837652
251,5,1,0,3,21,0,3,10,51.39463365363071
1213,2,4,0,12,10,2,2,13,51.39357862601885
2844,0,4,0,2,15,5,11,14,51.36081542271292
3908,2,0,5,12,10,0,0,4,51.35256864916837
228,1,0,1,4,8,1,3,12,51.32810991442509
1256,0,0,0,6,17,3,8,9,51.32176711901268
1420,0,0,0,23,3,4,4,16,51.30406659265966
390,3,0,0,10,7,2,1,18,51.26915324498975
2685,5,3,0,14,14,0,1,18,51.2524404819749
3265,1,0,4,13,38,0,0,12,51.243108942660655
1372,6,0,0,1,1,0,6,11,51.22495319438988
244,3,0,2,13,31,0,0,7,51.21414957659525
2929,9,0,0,13,2,0,1,6,51.18756440811836
600,29,0,0,30,0,0,0,0,51.181909839047286
137,1,1,0,7,33,1,4,13,51.16554039865751
2566,2,0,1,10,4,0,3,3,51.14777357569918
781,0,0,0,26,0,1,10,10,51.11755877920019
4038,0,0,7,19,13,1,0,8,51.108601078607215
2789,0,2,1,17,21,2,2,14,51.07013814645708
1008,0,3,4,23,5,0,2,6,51.00572618726399
