SOURCE,EXTERNAL_ID,PMCID,DOI,AUTHORS,PUBLICATION_YEAR,PUBLICATION_MONTH,TITLE,JOURNAL,VOLUME,ISSUE,PAGE_INFO,PUBLISHER,TIMES_CITED,GRANTS,OPEN_ACCESS,LICENSE,FIRST_PUB_DATE (dd/mm/yyyy),EMBARGO_DATE (dd/mm/yyyy),IN_EPMC,EPMC_AUTH_MAN
MED,36861111,PMC9968756,10.3389/fnana.2023.1108363,"Rockland, Kathleen S",2023,,A brief sketch across multiscale and comparative neuroanatomical features.,"Front Neuroanat",17,"","1108363",,0,"",Y,cc by,2023-02-13,,Y,N
MED,36590301,PMC9797816,10.3389/fnins.2022.1076374,"Scott, Sophie K; Jasmin, Kyle",2022,,Rostro-caudal networks for sound processing in the primate brain.,"Front Neurosci",16,"","1076374",,0,"",Y,cc by,2022-12-15,,Y,N
MED,35173586,PMC8841555,10.3389/fncir.2021.815554,"Montgomery, Daniel P; Hayden, Dustin J; Chaloner, Francesca A; Cooke, Samuel F; Bear, Mark F",2021,,Stimulus-Selective Response Plasticity in Primary Visual Cortex: Progress and Puzzles.,"Front Neural Circuits",15,"","815554",,6,"""Medical Research Council"":""MR/N026063/1"",""Wellcome Trust"":""207727/Z/17/Z"",""Biotechnology and Biological Sciences Research Council"":""BB/S008276/1"",""NEI NIH HHS"":""R01 EY023037"",""Biotechnology and Biological Sciences Research Council"":""ID_NOT_SUPPLIED"",""Wellcome Trust"":""ID_NOT_SUPPLIED"",""Office of Extramural Research, National Institutes of Health"":""ID_NOT_SUPPLIED""",Y,cc by,2022-01-31,,Y,N
MED,34489648,PMC8418311,10.3389/fncir.2021.721186,"Antunes, Flora M; Malmierca, Manuel S",2021,,Corticothalamic Pathways in Auditory Processing: Recent Advances and Insights From Other Sensory Systems.,"Front Neural Circuits",15,"","721186",,9,"""Consejería de Educación, Junta de Castilla y León"":""ID_NOT_SUPPLIED"",""Universidad de Salamanca"":""ID_NOT_SUPPLIED"",""Agencia Estatal de Investigación"":""ID_NOT_SUPPLIED""",Y,cc by,2021-08-19,,Y,N
MED,34216654,PMC8393355,10.1016/j.neubiorev.2021.06.042,"Phillips, Jessica M; Kambi, Niranjan A; Redinbaugh, Michelle J; Mohanta, Sounak; Saalmann, Yuri B",2021,9,Disentangling the influences of multiple thalamic nuclei on prefrontal cortex and cognitive control.,"Neurosci Biobehav Rev",128,"","487-510",,7,"""NIMH NIH HHS"":""R01 MH110311"",""NSF"":""ID_NOT_SUPPLIED"",""NIH HHS"":""P51 OD011106"",""Whitehall Foundation"":""ID_NOT_SUPPLIED"",""National Institutes of Health"":""ID_NOT_SUPPLIED"",""Brain and Behavior Research Foundation"":""ID_NOT_SUPPLIED""",N,,2021-06-30,2022-09-01,Y,N
MED,36271258,PMC9944689,10.1007/s00429-022-02586-8,"Giarrocco, Franco; Averbeck, Bruno B",2023,3,Anatomical organization of forebrain circuits in the primate.,"Brain Struct Funct",228,"2","393-411",,0,"""National Institute of Mental Health"":""ZIA MH002928"",""NIMH NIH HHS"":""ZIA MH002928""",Y,cc by,2022-10-21,,Y,N
MED,37025746,PMC10071339,10.7759/cureus.35772,"Kalamatianos, Theodosis; Mavrovounis, Georgios; Skouras, Panagiotis; Pandis, Dionysios; Fountas, Konstantinos; Stranjalis, George",2023,3,Medial Pulvinar Stimulation in Temporal Lobe Epilepsy: A Literature Review and a Hypothesis Based on Neuroanatomical Findings.,"Cureus",15,"3","e35772",,0,"",Y,cc by,2023-03-05,,Y,N
MED,35250454,PMC8888535,10.3389/fnins.2022.812837,"Francis, Joseph Thachil; Rozenboym, Anna; von Kraus, Lee; Xu, Shaohua; Chhatbar, Pratik; Semework, Mulugeta; Hawley, Emerson; Chapin, John",2022,,Similarities Between Somatosensory Cortical Responses Induced <i>via</i> Natural Touch and Microstimulation in the Ventral Posterior Lateral Thalamus in Macaques.,"Front Neurosci",16,"","812837",,0,"",Y,cc by,2022-02-16,,Y,N
MED,34903572,PMC8824507,10.1523/jneurosci.1724-21.2021,"Joyce, Mary Kate P; Marshall, Laura G; Banik, Shimrani L; Wang, Jingyi; Xiao, Danqing; Bunce, Jamie G; Barbas, Helen",2022,2,"Pathways for Memory, Cognition and Emotional Context: Hippocampal, Subgenual Area 25, and Amygdalar Axons Show Unique Interactions in the Primate Thalamic Reuniens Nucleus.","J Neurosci",42,"6","1068-1089",,5,"""NIMH NIH HHS"":""R01 MH057414"",""HHS | NIH | National Institute of Mental Health"":""R01MH117785"",""NIMH NIH HHS"":""R01 MH117785"",""HHS | NIH | National Institute of Mental Health"":""R01MH057414""",N,cc by-nc-sa,2021-12-13,2022-08-09,Y,N
MED,36834621,PMC9965431,10.3390/ijms24043207,"Wang, Yu; Wang, Ting; Montero-Pedrazuela, Ana; Guadaño-Ferraz, Ana; Rausell, Estrella",2023,2,Thyroid Hormone Transporters MCT8 and OATP1C1 Are Expressed in Pyramidal Neurons and Interneurons in the Adult Motor Cortex of Human and Macaque Brain.,"Int J Mol Sci",24,"4","3207",,2,"",Y,cc by,2023-02-06,,Y,N
MED,36973276,PMC10042852,10.1038/s41531-023-00493-1,"Alanazi, Frhan I; Kalia, Suneil K; Hodaie, Mojgan; Lopez Rios, Adriana L; Lozano, Andrés M; Milosevic, Luka; Hutchison, William D",2023,3,Top-down control of human motor thalamic neuronal activity during the auditory oddball task.,"NPJ Parkinsons Dis",9,"1","46",,0,"",Y,cc by,2023-03-27,,Y,N
MED,36068947,PMC10110443,10.1093/cercor/bhac337,"Vittek, Anne-Laure; Juan, Cécile; Nowak, Lionel G; Girard, Pascal; Cappe, Céline",2023,4,Multisensory integration in neurons of the medial pulvinar of macaque monkey.,"Cereb Cortex",33,"8","4202-4215",,0,"""French National Research Agency"":""ANR-16-CE37–0009-01""",Y,cc by-nc,2023-04-01,,Y,N
PPR,PPR596534,,10.1101/2023.01.12.523844,"Chen, Xinhong; Wolfe, Damien; Sivadasan Bindu, Dhanesh; Zhang, Mengying; Taskin, Naz; Goertsen, David; Shay, Timothy; Sullivan, Erin; Huang, Sheng-Fu; Ravindra Kumar, Sripriya; Arokiaraj, Cynthia; Plattner, Viktor; Campos, Lillian; Mich, John; Monet, Deja; Ngo, Victoria; Ding, Xiaozhe; Omstead, Victoria; Weed, Natalie; Bishaw, Yeme; Gore, Bryan; Lein, Ed; Akrami, Athena; Miller, Cory; Levi, Boaz; Keller, Annika; Ting, Jonathan; Fox, Andrew; Eroglu, Cagla; Gradinaru, Viviana",2023,,Functional gene delivery to and across brain vasculature of systemic AAVs with endothelial-specific tropism in rodents and broad tropism in primates,"",,"","",bioRxiv,0,"""Swiss National Science Foundation"":""188952"",""Swiss National Science Foundation"":""310030""",Y,cc by-nc-nd,2023-01-13,,Y,Y
MED,34013540,PMC8556184,10.1002/cne.25193,"Eradath, Manoj K; Pinsk, Mark A; Kastner, Sabine",2021,12,A causal role for the pulvinar in coordinating task-independent cortico-cortical interactions.,"J Comp Neurol",529,"17","3772-3784",,3,"""NEI NIH HHS"":""2R01EY017699"",""NIMH NIH HHS"":""2R01MH064043"",""National Institute of Mental Health"":""2R01MH064043"",""NIMH NIH HHS"":""P50MH109429"",""National Institute of Mental Health"":""P50MH109429"",""NIMH NIH HHS"":""R01 MH064043"",""National Eye Institute"":""2R01EY017699"",""NIMH NIH HHS"":""P50 MH109429"",""NEI NIH HHS"":""R01 EY017699""",N,,2021-05-30,2022-12-01,Y,N
MED,37378337,PMC10291247,10.1016/j.isci.2023.106784,"Feng, Ting; Zhao, Can; Rao, Jia-Sheng; Guo, Xiao-Jun; Bao, Shu-Sheng; He, Le-Wei; Zhao, Wen; Liu, Zuxiang; Yang, Zhao-Yang; Li, Xiao-Guang",2023,6,Different macaque brain network remodeling after spinal cord injury and NT3 treatment.,"iScience",26,"6","106784",,0,"",Y,cc by-nc-nd,2023-04-29,,Y,N
MED,31758291,PMC8418594,10.1007/s11065-019-09421-8,"Crosson, Bruce",2021,9,The Role of Cortico-Thalamo-Cortical Circuits in Language: Recurrent Circuits Revisited.,"Neuropsychol Rev",31,"3","516-533",,11,"""U.S. Department of Veterans Affairs"":""B9270L""",Y,cc by,2019-11-22,,Y,N
MED,33904411,PMC8079153,10.7554/elife.60824,"Bastos, André M; Donoghue, Jacob A; Brincat, Scott L; Mahnke, Meredith; Yanar, Jorge; Correa, Josefina; Waite, Ayan S; Lundqvist, Mikael; Roy, Jefferson; Brown, Emery N; Miller, Earl K",2021,4,Neural effects of propofol-induced unconsciousness and its reversal using thalamic stimulation.,"Elife",10,"","e60824",,28,"""NIMH NIH HHS"":""R01 MH115592"",""The JPB Foundation"":""ID_NOT_SUPPLIED"",""National Institute of General Medical Sciences"":""P01GM118269"",""NIMH NIH HHS"":""K99 MH116100"",""NIGMS NIH HHS"":""P01 GM118269"",""National Institute of Mental Health"":""R01MH11559""",Y,cc by,2021-04-27,,Y,N
MED,36976495,PMC10275847,10.1007/s13311-023-01368-2,"Becker, Guillaume; Debatisse, Justine; Rivière, Margaux; Crola Da Silva, Claire; Beaudoin-Gobert, Maude; Eker, Omer; Wateau, Océane; Cho, Tae Hee; Wiart, Marlène; Tremblay, Léon; Costes, Nicolas; Mérida, Inès; Redouté, Jérôme; Léon, Christelle; Langlois, Jean-Baptiste; Le Bars, Didier; Lancelot, Sophie; Nighoghossian, Norbert; Mechtouff, Laura; Canet-Soulas, Emmanuelle",2023,4,Spatio-Temporal Characterization of Brain Inflammation in a Non-human Primate Stroke Model Mimicking Endovascular Thrombectomy.,"Neurotherapeutics",20,"3","789-802",,0,"",Y,cc by,2023-03-28,,Y,N
MED,35450154,PMC9016146,10.3389/fmedt.2022.856412,"Sasi, Swapna; Sen Bhattacharya, Basabdatta",2022,,<i>In silico</i> Effects of Synaptic Connections in the Visual Thalamocortical Pathway.,"Front Med Technol",4,"","856412",,0,"",Y,cc by,2022-04-05,,Y,N
MED,37448560,PMC10336163,10.1016/j.isci.2023.106993,"Lomi, Eleonora; Jeffery, Kate J; Mitchell, Anna S",2023,7,"Convergence of location, direction, and theta in the rat anteroventral thalamic nucleus.","iScience",26,"7","106993",,0,"""Wellcome Trust"":""103896AIA"",""Wellcome Trust"":""110157/Z/15/Z"",""Royal Society"":""IEC\R2\181140"",""University of Oxford"":""SFF1718_CB2_ MSD_1074636""",Y,cc by,2023-05-29,,Y,N
MED,36874640,PMC9978403,10.3389/fnins.2022.818800,"Hartig, Renée; Karimi, Ali; Evrard, Henry C",2022,,Interconnected sub-networks of the macaque monkey gustatory connectome.,"Front Neurosci",16,"","818800",,0,"",Y,cc by,2023-02-16,,Y,N
MED,36288129,PMC9609818,10.3390/vetsci9100516,"Zhang, Xiaodong",2022,9,Effects of Anesthesia on Cerebral Blood Flow and Functional Connectivity of Nonhuman Primates.,"Vet Sci",9,"10","516",,0,"""NIH HHS"":""P51 OD011132""",Y,cc by,2022-09-22,,Y,N
MED,33476341,PMC7853500,10.1371/journal.pcbi.1008414,"Sumner, Rachael L; Spriggs, Meg J; Shaw, Alexander D",2021,1,Modelling thalamocortical circuitry shows that visually induced LTP changes laminar connectivity in human visual cortex.,"PLoS Comput Biol",17,"1","e1008414",,0,"""Wellcome Trust"":""ID_NOT_SUPPLIED"",""Wellcome Trust"":""104943/Z/14/Z""",Y,cc by,2021-01-21,,Y,N
MED,34003210,PMC8328208,10.1093/cercor/bhab073,"Pérez-Santos, Isabel; Palomero-Gallagher, Nicola; Zilles, Karl; Cavada, Carmen",2021,7,Distribution of the Noradrenaline Innervation and Adrenoceptors in the Macaque Monkey Thalamus.,"Cereb Cortex",31,"9","4115-4139",,7,"""European Union’s Horizon 2020 Research and Innovation Programme"":""945539"",""European Union’s Horizon 2020 Research and Innovation Programme"":""785907"",""European Union's Horizon 2020 Research and Innovation Programme"":""785907"",""German Federal Ministry of Education and Research"":""01GQ1902""",Y,cc by,2021-07-01,,Y,N
MED,33603649,PMC7884447,10.3389/fncir.2021.632668,"Rockland, Kathleen S",2021,,A Closer Look at Corticothalamic "Loops".,"Front Neural Circuits",15,"","632668",,0,"",Y,cc by,2021-02-02,,Y,N
MED,35484133,PMC9050665,10.1038/s41467-022-29433-y,"Najafian, Sohrab; Najafian, Sohrab; Koch, Erin; Teh, Kai Lun; Jin, Jianzhong; Rahimi-Nasrabadi, Hamed; Zaidi, Qasim; Kremkow, Jens; Alonso, Jose-Manuel",2022,4,A theory of cortical map formation in the visual brain.,"Nat Commun",13,"1","2303",,4,"""U.S. Department of Health &amp; Human Services | NIH | National Eye Institute"":""EY027361"",""NEI NIH HHS"":""R01 EY005253"",""U.S. Department of Health &amp; Human Services | NIH | National Eye Institute"":""ID_NOT_SUPPLIED"",""U.S. Department of Health &amp; Human Services | NIH | National Eye Institute"":""EY05253"",""NEI NIH HHS"":""R01 EY027361""",Y,cc by,2022-04-28,,Y,N
MED,37033159,PMC10074498,10.1016/j.dadr.2023.100148,"Porrino, Linda J; Smith, Hilary R; Beveridge, Thomas J R; Miller, Mack D; Nader, Susan H; Nader, Michael A",2023,6,Prolonged exposure to cocaine self-administration results in a continued progression of alterations in functional activity in a nonhuman primate model.,"Drug Alcohol Depend Rep",7,"","100148",,0,"",N,,2023-03-18,,Y,N
MED,37397881,PMC10312257,10.1162/netn_a_00304,"Shamir, Ittai; Assaf, Yaniv",2023,,Expanding connectomics to the laminar level: A perspective.,"Netw Neurosci",7,"2","377-388",,0,"",Y,cc by,2023-06-30,,Y,N
MED,32942125,PMC7770054,10.1016/j.conb.2020.08.002,"Kastner, Sabine; Fiebelkorn, Ian C; Eradath, Manoj K",2020,12,Dynamic pulvino-cortical interactions in the primate attention network.,"Curr Opin Neurobiol",65,"","10-19",,6,"""NIMH NIH HHS"":""R01 MH064043"",""NIMH NIH HHS"":""P50 MH109429"",""NEI NIH HHS"":""R01 EY017699"",""National Institutes of Health"":""ID_NOT_SUPPLIED""",N,,2020-09-14,2021-12-01,Y,N
MED,36976393,,10.1007/s11064-023-03909-9,"Li, Hui; Dan, Qi-Qin; Chen, Yan-Jun; Chen, Li; Zhang, Hong-Tian; Mu, De-Zhi; Wang, Ting-Hua",2023,8,"Cellular Localization and Distribution of TGF-β1, GDNF and PDGF-BB in the Adult Primate Central Nervous System.","Neurochem Res",48,"8","2406-2423",,0,"""National Natural Science Foundation of China"":""No.81070991""",N,,2023-03-28,,N,N
MED,36496128,PMC9806861,10.1016/j.brs.2022.12.003,"Yang, Pai-Feng; Phipps, M Anthony; Newton, Allen T; Jonathan, Sumeeth; Manuel, Thomas J; Gore, John C; Grissom, William A; Caskey, Charles F; Chen, Li Min",2022,,Differential dose responses of transcranial focused ultrasound at brain regions indicate causal interactions.,"Brain Stimul",15,"6","1552-1564",,0,"""NIH"":""1S10OD012297-01A1"",""NIBIB NIH HHS"":""F31 EB026928"",""NIMH NIH HHS"":""R01 MH111877"",""NIH"":""R01MH111877"",""NIH"":""R24MH109105"",""NIMH NIH HHS"":""R24 MH109105"",""NICHD NIH HHS"":""P50 HD103537"",""NIBIB NIH HHS"":""T32 EB014841"",""NIH"":""5T32EB014841"",""NIH HHS"":""S10 OD012297""",Y,cc by-nc-nd,2022-11-01,,Y,N
MED,36278000,PMC9579467,10.3389/fnins.2022.998932,"Alosaimi, Faisal; Boonstra, Jackson Tyler; Tan, Sonny; Temel, Yasin; Jahanshahi, Ali",2022,,The role of neurotransmitter systems in mediating deep brain stimulation effects in Parkinson's disease.,"Front Neurosci",16,"","998932",,0,"",Y,cc by,2022-10-05,,Y,N
MED,36922925,PMC10008888,10.3389/fnins.2023.1138602,"Khodaei, Fereshteh; Sadati, SH; Doost, Mahyar; Lashgari, Reza",2023,,LFP polarity changes across cortical and eccentricity in primary visual cortex.,"Front Neurosci",17,"","1138602",,0,"",Y,cc by,2023-02-27,,Y,N
MED,37397806,PMC10313870,10.1016/j.crneur.2023.100086,"Campos, Lillian J; Arokiaraj, Cynthia M; Chuapoco, Miguel R; Chen, Xinhong; Goeden, Nick; Gradinaru, Viviana; Fox, Andrew S",2023,,Advances in AAV technology for delivering genetically encoded cargo to the nonhuman primate nervous system.,"Curr Res Neurobiol",4,"","100086",,1,"""NIH"":""ID_NOT_SUPPLIED"",""Aligning Science Across Parkinson&amp;apos;s"":""ASAP-020495""",Y,cc by,2023-04-07,,Y,N
MED,33789082,PMC8111422,10.1016/j.neuron.2021.03.009,"Kao, Ta-Chu; Sadabadi, Mahdieh S; Hennequin, Guillaume",2021,5,Optimal anticipatory control as a theory of motor preparation: A thalamo-cortical circuit model.,"Neuron",109,"9","1567-1581.e12",,15,"""Wellcome Trust"":""ID_NOT_SUPPLIED"",""Wellcome Trust"":""202111/Z/16/Z""",Y,cc by,2021-03-30,,Y,N
MED,35816488,PMC9321468,10.1371/journal.pcbi.1010294,"Redinbaugh, Michelle J; Afrasiabi, Mohsen; Phillips, Jessica M; Kambi, Niranjan A; Mohanta, Sounak; Raz, Aeyal; Saalmann, Yuri B",2022,7,Thalamic deep brain stimulation paradigm to reduce consciousness: Cortico-striatal dynamics implicated in mechanisms of consciousness.,"PLoS Comput Biol",18,"7","e1010294",,1,"""NIH HHS"":""P51 OD011106"",""Wisconsin National Primate Research Center"":""Pilot Grant"",""National Institutes of Health"":""P51OD011106"",""United States - Israel Binational Science Foundation"":""201732"",""NIMH NIH HHS"":""R01 MH110311"",""National Science Foundation"":""2021011"",""National Institutes of Health"":""R01MH110311""",Y,cc by,2022-07-11,,Y,N
MED,37143181,PMC10321099,10.1093/cercor/bhad159,"Arnsten, Amy F T",2023,6,"Retrospective: Patricia S. Goldman-Rakic, pioneer in neuroscience and co-founder of the journal, Cerebral Cortex.","Cereb Cortex",33,"13","8089-8100",,0,"",Y,cc by-nc,2023-06-01,,Y,N
MED,36813296,,10.1093/cercor/bhad036,"Stepniewska, Iwona; Kahler-Quesada, Sofia; Kaas, Jon H; Friedman, Robert M",2023,5,Functional imaging and anatomical connections in squirrel monkeys reveal parietal-frontal circuits underlying eye movements.,"Cereb Cortex",33,"11","7258-7275",,0,"""National Institutes of Health"":""EY02686"",""National Institutes of Health"":""NS093998"",""NINDS NIH HHS"":""R01 NS093998"",""NEI NIH HHS"":""R43 EY026860""",N,,2023-05-01,,N,N
MED,37378855,PMC10335970,10.1007/s00429-023-02673-4,"Żakowski, Witold; Zawistowski, Piotr",2023,7,Neurochemistry of the mammillary body.,"Brain Struct Funct",228,"6","1379-1398",,0,"",Y,cc by,2023-06-28,,Y,N
MED,35412910,PMC9169786,10.1073/pnas.2119868119,"Charbonneau, Joey A; Maister, Lara; Tsakiris, Manos; Bliss-Moreau, Eliza",2022,4,Rhesus monkeys have an interoceptive sense of their beating hearts.,"Proc Natl Acad Sci U S A",119,"16","e2119868119",,2,"""European Research Council"":""724537"",""UC | University of California, Davis"":""Chancellor&apos;&apos;&apos;&apos;s Fellowship"",""NIH HHS"":""P51 OD011107"",""National Institutes of Health Office of the Director"":""P51OD011107""",Y,cc by-nc-nd,2022-04-11,,Y,N
MED,33934235,PMC8203542,10.1007/s00429-021-02284-x,"Brinkmann, Pia; Kotz, Sonja A; Smit, Jasper V; Janssen, Marcus L F; Schwartze, Michael",2021,7,Auditory thalamus dysfunction and pathophysiology in tinnitus: a predictive network hypothesis.,"Brain Struct Funct",226,"6","1659-1676",,1,"""Studienstiftung des Deutschen Volkes"":""Doctorate Scholarship""",Y,cc by,2021-05-02,,Y,N
MED,33676368,PMC8599722,10.1093/cercor/bhab020,"Villalba, Rosa M; Behnke, Joseph A; Pare, Jean-Francois; Smith, Yoland",2021,6,Comparative Ultrastructural Analysis of Thalamocortical Innervation of the Primary Motor Cortex and Supplementary Motor Area in Control and MPTP-Treated Parkinsonian Monkeys.,"Cereb Cortex",31,"7","3408-3425",,1,"""NINDS NIH HHS"":""P50 NS098685"",""National Institutes of Health"":""P50NS098685"",""NIGMS NIH HHS"":""T32 GM008169"",""Yerkes National Primate Research Center"":""ID_NOT_SUPPLIED"",""NIH HHS"":""P51 OD011132"",""National Institute of Health/Office of Research Infrastructure Programs P51"":""P51OD011132""",N,,2021-06-01,,Y,N
