INDEX	MACAQUE_COUNT_IN_TA	OTHER_SPIECIES_COUNT_IN_TA	TC_CT_COUNT_IN_TA	THALAM_COUNT_IN_TA	CORTEX_COUNT_IN_TA	INJECT_COUNT_IN_TA	METHOD_COUNT_IN_TA	CONNECT_COUNT_IN_TA	NOT_TT	NOT_MACAQUE_BUT_OTHERS	RELEVANCE_INDEX
143	10.0	0.0	5.0	18.0	24.0	0.0	13.0	22.0			244.3060108401364
1193	3.0	3.0	6.0	6.0	8.0	12.0	14.0	26.0			243.63036963206773
147	2.0	0.0	3.0	26.0	4.0	8.0	14.0	17.0			242.88466346927189
185	2.0	0.0	4.0	16.0	9.0	8.0	12.0	16.0			240.9924565829276
517	0.0	0.0	16.0	34.0	14.0	0.0	0.0	10.0			239.73143903297876
758	2.0	0.0	7.0	19.0	8.0	2.0	4.0	19.0			239.63516714479735
228	4.0	0.0	4.0	26.0	0.0	4.0	11.0	21.0			239.0990311143869
218	2.0	0.0	4.0	38.0	14.0	4.0	3.0	13.0			238.2792379367487
2535	0.0	0.0	16.0	16.0	8.0	0.0	4.0	4.0			235.3809380611877
945	0.0	12.0	5.0	24.0	15.0	4.0	4.0	16.0			234.5732992534408
637	0.0	0.0	13.0	36.0	4.0	0.0	0.0	20.0			234.32765494012068
1134	0.0	10.0	4.0	15.0	11.0	5.0	11.0	24.0			233.49672049008112
349	4.0	0.0	6.0	28.0	0.0	0.0	8.0	20.0			233.4695843113224
127	6.0	0.0	4.0	35.0	12.0	0.0	4.0	25.0			233.2423215580773
39	8.0	0.0	2.0	23.0	20.0	4.0	12.0	17.0			233.07690944594697
92	2.0	0.0	2.0	19.0	14.0	4.0	20.0	21.0			230.54375105820125
903	2.0	0.0	4.0	20.0	5.0	2.0	19.0	6.0			230.32364471047453
23	4.0	0.0	2.0	26.0	4.0	9.0	9.0	17.0			228.90313722498644
7	6.0	0.0	6.0	12.0	14.0	6.0	2.0	14.0			228.24872948113543
41	4.0	0.0	4.0	26.0	21.0	0.0	4.0	28.0			228.09036696281055
17	4.0	0.0	4.0	28.0	8.0	2.0	4.0	10.0			226.69986899705376
878	0.0	8.0	8.0	35.0	6.0	2.0	0.0	16.0			226.52476362737136
196	0.0	0.0	11.0	31.0	16.0	0.0	0.0	12.0			225.85522385640965
57	6.0	0.0	2.0	17.0	0.0	13.0	20.0	14.0			225.07224811243117
29	4.0	0.0	2.0	18.0	17.0	8.0	8.0	19.0			224.94245154648212
115	8.0	2.0	4.0	27.0	17.0	0.0	2.0	29.0			223.6117690745492
97	4.0	4.0	13.0	17.0	8.0	0.0	0.0	12.0			222.50439315548144
586	6.0	0.0	4.0	11.0	10.0	2.0	10.0	14.0			222.2542638410112
2945	0.0	0.0	5.0	9.0	4.0	8.0	8.0	19.0			222.17013282508927
433	0.0	0.0	4.0	17.0	6.0	2.0	8.0	22.0			221.66579489606056
1033	0.0	0.0	12.0	23.0	18.0	0.0	0.0	11.0			221.6205814508723
868	0.0	6.0	5.0	21.0	11.0	0.0	6.0	20.0			221.004849965084
952	0.0	0.0	8.0	34.0	8.0	0.0	0.0	26.0			220.71717617740853
1341	3.0	6.0	8.0	10.0	10.0	0.0	10.0	5.0			220.64333686725547
927	2.0	0.0	8.0	32.0	2.0	0.0	0.0	28.0			219.96075331665665
785	0.0	19.0	2.0	33.0	10.0	5.0	5.0	16.0			217.21910119738385
721	0.0	11.0	3.0	34.0	12.0	0.0	7.0	16.0			216.68397933509837
631	6.0	0.0	11.0	13.0	21.0	0.0	0.0	12.0			216.206955818585
81	6.0	0.0	5.0	21.0	17.0	0.0	6.0	3.0			216.17944548486608
95	4.0	0.0	2.0	20.0	6.0	6.0	6.0	18.0			215.92643631530424
2428	0.0	0.0	10.0	22.0	6.0	0.0	0.0	23.0			215.8132553589196
4545	0.0	0.0	9.0	17.0	0.0	0.0	3.0	20.0			215.60233746119852
264	2.0	0.0	4.0	18.0	6.0	2.0	2.0	30.0			215.01628242669636
2521	0.0	0.0	16.0	16.0	20.0	0.0	0.0	3.0			213.2444231634701
1042	2.0	0.0	4.0	25.0	1.0	0.0	4.0	29.0			212.9422697971744
50	4.0	0.0	5.0	33.0	7.0	0.0	0.0	31.0			212.9311481830932
4457	0.0	0.0	15.0	37.0	8.0	0.0	0.0	0.0			212.829325769432
739	0.0	0.0	5.0	40.0	26.0	0.0	0.0	21.0			211.8992893003347
103	2.0	0.0	5.0	12.0	6.0	2.0	3.0	17.0			211.7009807767188
128	2.0	0.0	2.0	16.0	4.0	6.0	14.0	9.0			211.4207815906676
28	3.0	0.0	1.0	29.0	4.0	3.0	11.0	23.0			210.65156479322
1173	2.0	0.0	2.0	15.0	0.0	12.0	12.0	15.0			210.6018922049957
4378	0.0	0.0	17.0	27.0	0.0	0.0	0.0	2.0			209.9061059569078
686	0.0	0.0	2.0	20.0	0.0	4.0	24.0	11.0			209.284135485054
509	0.0	0.0	6.0	12.0	27.0	0.0	7.0	6.0			209.27188706537763
1221	0.0	6.0	2.0	20.0	5.0	5.0	13.0	8.0			208.49205024582187
335	2.0	0.0	2.0	16.0	10.0	4.0	8.0	13.0			207.70068403599907
245	0.0	0.0	0.0	36.0	6.0	6.0	48.0	18.0			207.2832943152591
27	6.0	0.0	3.0	9.0	3.0	6.0	6.0	15.0			206.05106526930345
248	2.0	0.0	2.0	18.0	9.0	0.0	11.0	29.0			205.84702649763773
1108	0.0	6.0	2.0	32.0	2.0	3.0	6.0	12.0			205.5513314483709
2735	0.0	0.0	10.0	17.0	13.0	0.0	0.0	10.0			205.34934423539892
4038	0.0	2.0	6.0	23.0	9.0	2.0	0.0	11.0			204.6358665704425
100	2.0	0.0	3.0	12.0	12.0	0.0	8.0	26.0			203.81005393206885
67	9.0	0.0	2.0	17.0	6.0	0.0	9.0	22.0			203.3399802585775
405	3.0	0.0	6.0	18.0	0.0	0.0	2.0	16.0			203.1901700175568
101	10.0	0.0	0.0	48.0	0.0	5.0	25.0	14.0			203.1545285903824
2414	0.0	0.0	8.0	15.0	20.0	0.0	0.0	20.0			202.87153771529464
650	4.0	0.0	0.0	25.0	20.0	8.0	16.0	28.0			202.86561943539485
899	4.0	0.0	4.0	32.0	16.0	0.0	0.0	16.0			202.33559525703976
360	4.0	0.0	2.0	36.0	6.0	0.0	2.0	28.0			202.14632230016343
44	2.0	0.0	2.0	26.0	6.0	0.0	6.0	22.0			202.1066197805709
122	3.0	0.0	6.0	16.0	3.0	1.0	2.0	4.0			202.0347184347789
5114	0.0	0.0	5.0	40.0	14.0	0.0	0.0	10.0			202.02888417022464
1109	0.0	9.0	7.0	13.0	9.0	0.0	2.0	11.0			201.9952712004468
957	2.0	0.0	1.0	29.0	17.0	4.0	4.0	17.0			201.8404073865872
33	4.0	0.0	1.0	28.0	17.0	2.0	7.0	11.0			201.43414383346965
47	4.0	0.0	4.0	27.0	13.0	0.0	0.0	24.0			201.1138637106729
1385	2.0	0.0	4.0	8.0	10.0	4.0	4.0	10.0			201.00556927693813
90	2.0	0.0	2.0	16.0	9.0	2.0	6.0	17.0			200.859304757913
2586	15.0	0.0	0.0	22.0	0.0	7.0	42.0	22.0			200.8176583209209
1059	4.0	0.0	8.0	24.0	4.0	0.0	0.0	4.0			200.5496369638358
1307	2.0	0.0	2.0	12.0	15.0	4.0	8.0	10.0			200.45593105017025
648	2.0	0.0	9.0	18.0	6.0	0.0	0.0	6.0			200.3960918780931
916	3.0	0.0	9.0	18.0	12.0	0.0	0.0	3.0			199.33354040302888
931	0.0	0.0	4.0	26.0	2.0	0.0	2.0	19.0			198.70300665637436
1131	0.0	5.0	2.0	10.0	15.0	6.0	8.0	16.0			198.50442056904112
439	0.0	0.0	8.0	16.0	6.0	0.0	0.0	19.0			198.40619017567064
171	5.0	0.0	0.0	29.0	0.0	9.0	36.0	14.0			198.25885351832008
365	6.0	0.0	2.0	12.0	9.0	0.0	16.0	12.0			197.4583954289682
841	4.0	4.0	2.0	14.0	20.0	4.0	2.0	19.0			197.4464345149698
1166	0.0	0.0	4.0	16.0	10.0	0.0	3.0	18.0			197.43613167122405
236	14.0	0.0	0.0	21.0	20.0	7.0	14.0	19.0			197.4114156969575
4242	0.0	0.0	6.0	24.0	6.0	0.0	0.0	17.0			196.9415699081557
2438	0.0	0.0	6.0	20.0	10.0	0.0	0.0	21.0			196.8493678028731
473	2.0	0.0	2.0	33.0	15.0	0.0	2.0	17.0			196.8424116256512
3599	0.0	0.0	2.0	14.0	13.0	0.0	12.0	27.0			196.63731868603105
124	4.0	0.0	2.0	26.0	0.0	2.0	4.0	14.0			196.59579634321784
4240	0.0	7.0	2.0	38.0	2.0	0.0	10.0	6.0			196.4541247258348
752	4.0	0.0	0.0	17.0	13.0	12.0	24.0	17.0			196.33811868425093
48	2.0	0.0	6.0	9.0	5.0	2.0	4.0	2.0			195.9667065364182
912	0.0	0.0	7.0	19.0	15.0	0.0	0.0	10.0			195.9128648452258
105	4.0	0.0	2.0	11.0	5.0	4.0	4.0	25.0			195.8900578908025
13	6.0	0.0	0.0	15.0	23.0	10.0	21.0	20.0			195.72435185860357
1236	10.0	0.0	5.0	5.0	10.0	0.0	11.0	5.0			195.63451266690785
198	4.0	0.0	2.0	18.0	12.0	2.0	2.0	18.0			195.33709938373076
4524	0.0	0.0	9.0	9.0	10.0	0.0	0.0	26.0			194.6158760686481
83	6.0	0.0	0.0	17.0	2.0	14.0	31.0	15.0			194.27433391143703
1002	7.0	2.0	7.0	11.0	4.0	0.0	0.0	20.0			194.18994955969737
8	2.0	0.0	2.0	20.0	1.0	7.0	2.0	15.0			194.01583680516805
4003	0.0	0.0	17.0	17.0	2.0	0.0	0.0	0.0			193.36722570659123
4267	0.0	7.0	10.0	16.0	3.0	0.0	0.0	6.0			193.1367178094928
161	8.0	0.0	0.0	16.0	0.0	10.0	60.0	11.0			192.30758367654988
91	9.0	0.0	0.0	31.0	5.0	6.0	9.0	21.0			192.02342280015063
687	2.0	0.0	2.0	13.0	4.0	6.0	2.0	24.0			191.58821986187368
166	0.0	0.0	11.0	11.0	3.0	0.0	0.0	9.0			191.47625497175997
4011	0.0	0.0	6.0	13.0	24.0	0.0	0.0	22.0			191.2621604862265
275	0.0	0.0	8.0	8.0	4.0	0.0	6.0	2.0			191.0415622115356
56	4.0	0.0	6.0	14.0	6.0	0.0	0.0	14.0			190.39490330823693
1302	0.0	0.0	1.0	25.0	0.0	6.0	14.0	7.0			190.0525705968195
1090	0.0	0.0	7.0	13.0	2.0	0.0	0.0	33.0			189.91076159707703
211	9.0	0.0	8.0	8.0	7.0	0.0	0.0	11.0			189.5787971981037
203	2.0	0.0	1.0	24.0	20.0	0.0	6.0	22.0			189.4570508711817
162	0.0	3.0	3.0	42.0	19.0	0.0	0.0	11.0			189.30950520278464
2464	0.0	0.0	1.0	26.0	3.0	3.0	7.0	14.0			189.18834942552405
2703	5.0	1.0	0.0	17.0	21.0	19.0	21.0	4.0			189.09064222059163
1061	6.0	0.0	6.0	20.0	9.0	0.0	0.0	3.0			189.05488672674383
835	2.0	0.0	4.0	22.0	14.0	0.0	0.0	14.0			188.87868635546644
276	4.0	0.0	7.0	11.0	9.0	0.0	0.0	10.0			188.8393956670179
914	0.0	0.0	5.0	29.0	8.0	0.0	0.0	7.0			188.48085161415557
1642	0.0	8.0	2.0	8.0	8.0	6.0	6.0	19.0			188.4663053287337
98	4.0	0.0	4.0	22.0	1.0	0.0	0.0	29.0			188.28977117718452
6856	0.0	0.0	10.0	16.0	3.0	0.0	0.0	3.0			187.54055993013856
257	2.0	0.0	4.0	20.0	10.0	0.0	0.0	18.0			187.4175050394464
210	3.0	0.0	0.0	28.0	0.0	6.0	21.0	20.0			187.38383022342344
529	6.0	0.0	6.0	18.0	0.0	0.0	0.0	12.0			186.82642476126549
706	0.0	5.0	2.0	21.0	2.0	2.0	4.0	11.0			186.69037239509544
383	8.0	6.0	0.0	29.0	19.0	3.0	5.0	31.0			186.39141347362195
1041	0.0	0.0	4.0	22.0	17.0	1.0	0.0	8.0			186.1204482640352
2786	4.0	0.0	0.0	25.0	11.0	3.0	12.0	23.0			186.041858538249
222	5.0	0.0	1.0	6.0	14.0	7.0	14.0	12.0			185.93735130837885
2812	0.0	0.0	2.0	13.0	7.0	5.0	14.0	1.0			185.78795200991817
935	5.0	2.0	2.0	20.0	2.0	0.0	6.0	8.0			185.67030928848263
501	0.0	10.0	2.0	39.0	2.0	2.0	8.0	0.0			185.60403088963773
246	4.0	12.0	0.0	29.0	1.0	11.0	17.0	7.0			185.5419182896449
1693	0.0	12.0	9.0	9.0	3.0	0.0	0.0	17.0			185.5032204291741
2528	0.0	5.0	6.0	9.0	12.0	0.0	2.0	7.0			185.49937982119133
500	0.0	0.0	6.0	17.0	6.0	0.0	0.0	12.0			185.4747442295086
15	4.0	0.0	4.0	18.0	6.0	0.0	0.0	18.0			185.20962107563648
960	0.0	0.0	4.0	22.0	10.0	0.0	2.0	3.0			185.0964762008052
1337	3.0	0.0	5.0	13.0	6.0	0.0	0.0	20.0			184.7530589376139
911	4.0	0.0	0.0	10.0	11.0	16.0	26.0	13.0			184.57936435784947
34	2.0	0.0	2.0	13.0	5.0	2.0	3.0	16.0			184.4854553206283
337	8.0	0.0	0.0	27.0	17.0	4.0	12.0	7.0			184.10612933360443
45	5.0	7.0	0.0	32.0	1.0	6.0	12.0	12.0			183.4200577126936
1557	0.0	8.0	2.0	10.0	2.0	2.0	8.0	19.0			183.2867490922885
1845	0.0	0.0	3.0	8.0	7.0	0.0	9.0	15.0			183.0442602039088
946	5.0	0.0	5.0	11.0	14.0	0.0	0.0	13.0			182.6826666616261
732	6.0	0.0	0.0	19.0	8.0	3.0	15.0	22.0			182.41569707489455
134	4.0	0.0	0.0	20.0	2.0	14.0	16.0	9.0			182.2578650504024
163	0.0	0.0	4.0	19.0	11.0	0.0	0.0	20.0			182.140580962388
1147	8.0	0.0	0.0	15.0	11.0	11.0	19.0	6.0			181.96952628335865
2	4.0	0.0	1.0	20.0	0.0	2.0	10.0	9.0			181.866540636251
73	6.0	2.0	4.0	21.0	0.0	0.0	0.0	20.0			181.82835295383276
618	0.0	11.0	3.0	12.0	20.0	0.0	3.0	12.0			181.2420295613649
71	6.0	2.0	0.0	37.0	4.0	8.0	6.0	7.0			180.67170772659696
1195	0.0	6.0	0.0	31.0	0.0	8.0	19.0	14.0			180.6321294576873
543	3.0	0.0	0.0	21.0	13.0	4.0	14.0	13.0			180.5085252246604
3579	0.0	0.0	0.0	24.0	3.0	8.0	12.0	25.0			180.4308189428045
2711	16.0	0.0	0.0	15.0	15.0	8.0	8.0	15.0			180.0002300432778
2461	0.0	0.0	0.0	24.0	15.0	9.0	14.0	8.0			179.95368895273972
2583	14.0	0.0	0.0	18.0	21.0	0.0	21.0	21.0			179.88249908542153
407	7.0	0.0	0.0	31.0	0.0	8.0	8.0	15.0			179.69710693419566
367	9.0	0.0	3.0	3.0	14.0	4.0	11.0	2.0			179.51641170111628
811	0.0	0.0	3.0	22.0	15.0	0.0	0.0	23.0			179.48261175770276
845	0.0	0.0	5.0	9.0	14.0	0.0	2.0	6.0			178.71354292005915
207	0.0	11.0	5.0	21.0	14.0	0.0	0.0	4.0			178.58107023293212
35	4.0	0.0	0.0	22.0	0.0	9.0	12.0	20.0			178.379860629497
1363	2.0	0.0	2.0	4.0	20.0	2.0	8.0	18.0			178.2849943279234
963	0.0	0.0	4.0	26.0	0.0	0.0	0.0	22.0			178.12838030676377
1639	2.0	0.0	0.0	28.0	0.0	8.0	12.0	15.0			177.84783055068544
2916	6.0	0.0	0.0	15.0	0.0	8.0	22.0	18.0			177.49331760523495
2763	5.0	0.0	0.0	29.0	18.0	5.0	5.0	10.0			177.48386624221143
1554	2.0	0.0	3.0	5.0	10.0	2.0	2.0	24.0			177.38236444821416
1783	0.0	4.0	3.0	9.0	22.0	1.0	3.0	7.0			177.21417548848868
40	4.0	0.0	0.0	32.0	6.0	6.0	4.0	16.0			177.12223296173588
1165	2.0	8.0	2.0	10.0	0.0	4.0	14.0	2.0			177.08618983757947
3041	0.0	0.0	6.0	7.0	17.0	0.0	2.0	4.0			176.84786674805187
4078	0.0	4.0	2.0	12.0	5.0	0.0	6.0	20.0			176.660899442467
280	2.0	2.0	2.0	13.0	14.0	1.0	2.0	10.0			176.34384609956223
43	4.0	0.0	2.0	8.0	8.0	2.0	2.0	21.0			176.2841501792674
114	4.0	0.0	0.0	16.0	4.0	8.0	11.0	19.0			176.1278809814685
3160	2.0	0.0	2.0	8.0	0.0	2.0	8.0	15.0			176.03854619259263
249	2.0	0.0	0.0	13.0	13.0	17.0	11.0	11.0			175.69116515545994
110	2.0	3.0	5.0	26.0	0.0	0.0	0.0	4.0			175.65374098691197
1420	0.0	3.0	0.0	30.0	0.0	8.0	11.0	20.0			175.5407500095451
116	2.0	0.0	0.0	17.0	8.0	4.0	12.0	24.0			175.49585601237183
2472	4.0	0.0	0.0	25.0	0.0	0.0	38.0	21.0			175.3634522382354
368	3.0	0.0	0.0	27.0	0.0	6.0	11.0	16.0			175.30141923791484
193	2.0	0.0	0.0	16.0	2.0	8.0	19.0	13.0			175.11525966091114
183	5.0	10.0	5.0	18.0	0.0	0.0	0.0	7.0			175.03456601122184
3144	0.0	0.0	0.0	37.0	5.0	1.0	15.0	13.0			174.80932727464867
2681	0.0	2.0	2.0	7.0	5.0	0.0	12.0	22.0			174.71850995607514
318	3.0	0.0	0.0	15.0	0.0	9.0	19.0	20.0			174.65324927207854
136	4.0	0.0	0.0	25.0	2.0	10.0	4.0	21.0			174.02361040412646
1392	4.0	0.0	3.0	21.0	8.0	0.0	0.0	8.0			173.73339400096734
261	3.0	0.0	3.0	15.0	12.0	0.0	0.0	17.0			173.42642867265894
1803	0.0	0.0	1.0	14.0	13.0	4.0	3.0	15.0			173.2371106615665
3157	0.0	0.0	0.0	14.0	8.0	12.0	15.0	14.0			173.00620433347055
1284	7.0	0.0	0.0	14.0	10.0	6.0	9.0	17.0			172.98953456437175
4287	0.0	0.0	5.0	8.0	16.0	0.0	0.0	24.0			172.95581817149076
223	4.0	0.0	0.0	35.0	0.0	0.0	25.0	13.0			172.89718439004807
99	4.0	0.0	0.0	12.0	6.0	5.0	18.0	17.0			172.88837120272427
2435	8.0	0.0	0.0	13.0	13.0	2.0	17.0	16.0			172.8316754708246
1191	0.0	5.0	3.0	8.0	11.0	0.0	2.0	27.0			172.6081515589148
3512	0.0	0.0	0.0	18.0	9.0	3.0	13.0	28.0			172.24566179942377
153	0.0	2.0	6.0	8.0	7.0	0.0	0.0	17.0			172.06794568297883
2503	9.0	0.0	0.0	11.0	19.0	8.0	8.0	16.0			171.87700095140784
235	4.0	0.0	0.0	15.0	12.0	2.0	14.0	19.0			171.7508530442269
244	4.0	0.0	2.0	22.0	31.0	0.0	0.0	10.0			171.686668749106
3619	14.0	0.0	0.0	14.0	13.0	0.0	21.0	20.0			171.24765385875156
62	6.0	0.0	0.0	30.0	18.0	0.0	6.0	22.0			170.84502014835863
907	0.0	2.0	4.0	18.0	2.0	0.0	0.0	14.0			170.56205443088766
176	2.0	0.0	0.0	24.0	0.0	2.0	22.0	13.0			170.3740664868165
55	2.0	0.0	0.0	24.0	24.0	0.0	8.0	33.0			170.2813100955915
824	3.0	0.0	0.0	9.0	24.0	15.0	9.0	14.0			169.93564388312222
1396	0.0	5.0	2.0	30.0	17.0	0.0	0.0	12.0			169.89552402294922
4096	0.0	0.0	9.0	17.0	2.0	0.0	0.0	0.0			169.85575911050648
172	6.0	0.0	3.0	5.0	10.0	0.0	2.0	22.0			169.79891477407858
2574	5.0	10.0	0.0	16.0	0.0	6.0	20.0	11.0			169.76513550183017
2419	0.0	0.0	4.0	16.0	0.0	0.0	0.0	30.0			169.5477221436209
2752	0.0	0.0	0.0	21.0	14.0	6.0	6.0	19.0			169.42138880139169
1874	0.0	0.0	3.0	16.0	0.0	0.0	6.0	3.0			169.33370389322965
340	8.0	0.0	0.0	19.0	4.0	4.0	12.0	7.0			169.28965419076377
1054	0.0	0.0	1.0	21.0	9.0	0.0	15.0	2.0			169.08982774160376
88	6.0	0.0	0.0	14.0	10.0	6.0	14.0	6.0			168.95923813446308
145	4.0	0.0	4.0	8.0	4.0	0.0	0.0	27.0			168.72455515686255
1153	6.0	0.0	0.0	13.0	13.0	0.0	36.0	12.0			168.71453289801306
80	8.0	4.0	0.0	34.0	0.0	2.0	8.0	11.0			168.6633824685209
830	28.0	0.0	0.0	56.0	28.0	0.0	0.0	28.0			168.42219829559323
2534	15.0	0.0	0.0	22.0	14.0	0.0	12.0	10.0			168.24374310484546
74	2.0	2.0	2.0	31.0	4.0	0.0	0.0	10.0			168.10709285021233
2549	0.0	20.0	3.0	17.0	0.0	0.0	3.0	6.0			167.96458529955123
1064	0.0	7.0	0.0	22.0	5.0	8.0	6.0	18.0			167.95144054522532
3597	0.0	0.0	0.0	24.0	0.0	13.0	15.0	6.0			167.91040124200745
1107	0.0	0.0	2.0	10.0	7.0	0.0	4.0	18.0			167.87503955325874
3403	4.0	4.0	0.0	21.0	0.0	5.0	13.0	11.0			167.6757720305178
950	8.0	5.0	0.0	16.0	2.0	5.0	10.0	13.0			167.58611501183574
3128	9.0	11.0	0.0	24.0	0.0	4.0	6.0	19.0			167.22517518238587
928	2.0	0.0	4.0	8.0	20.0	0.0	0.0	14.0			167.10430657374928
1110	4.0	0.0	0.0	19.0	4.0	2.0	10.0	17.0			166.84595552080907
940	0.0	0.0	2.0	24.0	11.0	0.0	0.0	19.0			166.79824315290932
79	4.0	0.0	2.0	9.0	8.0	0.0	2.0	18.0			166.4660054421132
615	1.0	5.0	0.0	13.0	4.0	7.0	10.0	24.0			166.4409614628076
3172	3.0	8.0	0.0	31.0	0.0	6.0	3.0	25.0			166.40935166315893
4	4.0	1.0	0.0	30.0	11.0	0.0	8.0	14.0			166.36027359430457
403	4.0	0.0	0.0	26.0	0.0	16.0	8.0	3.0			165.5965569240831
2878	4.0	0.0	0.0	19.0	4.0	8.0	8.0	6.0			165.37740188714938
5104	0.0	8.0	4.0	4.0	14.0	2.0	2.0	6.0			165.07812402098344
2691	3.0	0.0	0.0	27.0	0.0	5.0	6.0	15.0			165.0687187104876
1755	2.0	6.0	0.0	11.0	12.0	10.0	6.0	22.0			164.96302159845317
603	4.0	0.0	0.0	20.0	20.0	6.0	2.0	18.0			164.76553830611238
1248	0.0	4.0	0.0	14.0	3.0	7.0	15.0	15.0			164.7418603059476
289	4.0	0.0	0.0	21.0	10.0	1.0	5.0	27.0			164.4426362058926
4417	0.0	0.0	2.0	22.0	19.0	0.0	0.0	14.0			164.3910103237452
30	2.0	0.0	0.0	22.0	6.0	4.0	12.0	4.0			164.27296619745093
472	12.0	0.0	6.0	6.0	0.0	0.0	0.0	11.0			164.15797297378305
3001	4.0	0.0	0.0	14.0	19.0	4.0	4.0	26.0			163.9214224283915
373	4.0	0.0	0.0	27.0	0.0	0.0	16.0	19.0			163.80782521293375
311	3.0	3.0	0.0	10.0	9.0	5.0	17.0	10.0			163.64390287923567
668	0.0	0.0	5.0	7.0	6.0	0.0	0.0	19.0			163.34329079193458
2789	0.0	0.0	0.0	24.0	18.0	6.0	6.0	6.0			163.30094573447315
2796	0.0	0.0	4.0	8.0	14.0	0.0	0.0	20.0			163.29360631351477
415	0.0	0.0	0.0	27.0	5.0	8.0	4.0	11.0			163.22679105827405
890	0.0	0.0	1.0	25.0	16.0	0.0	1.0	18.0			163.18596489327953
156	2.0	0.0	0.0	24.0	5.0	6.0	6.0	6.0			163.0306096281218
288	6.0	0.0	0.0	12.0	8.0	6.0	6.0	18.0			162.93155108654332
3816	0.0	19.0	0.0	6.0	12.0	6.0	31.0	19.0			162.87496328177946
491	36.0	0.0	0.0	36.0	36.0	0.0	0.0	36.0			162.49130606899013
1991	0.0	0.0	3.0	3.0	12.0	0.0	7.0	16.0			162.45763682586028
1304	10.0	0.0	0.0	25.0	0.0	5.0	5.0	10.0			162.21482927321398
164	5.0	0.0	0.0	10.0	10.0	5.0	10.0	14.0			161.86218132536962
2498	6.0	0.0	0.0	16.0	4.0	3.0	11.0	8.0			161.7158630402336
77	8.0	0.0	0.0	18.0	20.0	0.0	8.0	17.0			161.68179579346415
273	0.0	0.0	2.0	22.0	12.0	0.0	0.0	13.0			161.5471670284134
54	4.0	2.0	0.0	8.0	5.0	6.0	14.0	18.0			161.46084564046694
58	2.0	2.0	0.0	26.0	2.0	2.0	6.0	15.0			161.28270688169792
