INDEX	TT?(Y/N/MB/NA)	MACAQUE?(Y/N/MB/NA)	TC_OR_CT?(Y/N/MB/NA)	RELEVANT?(Y/N/MB/NA)	REVIEW(Y/N)	READ_BY(A/D/R)	COMMENT	DOI	PMID	PMCID	FULL_TEXT_URL	PDF_URL	TITLE	ABSTRACT	KEYWORDS
1964								10.1016/s0940-9602(11)80212-8	8297039.0		https://linkinghub.elsevier.com/retrieve/pii/S0940960211802128	://linkinghub.elsevier.com/	The functional organization of somatosensory cortex in primates	Our understanding of the functional organization of somatosensory cortex and thalamus in primates and other mammals has greatly increased over the last few years It is now clear that higher primates have four strip-like representations of skin and muscle receptors corresponding to areas a b  and  of anterior parietal cortex Areas b and  receive cutaneous information from the ventroposterior nucleus while a ventroposterior superior nucleus provides areas a and  with information from muscle receptors Area b is the homolog of S-I in prosimians and non-primates and it provides most of the activating cutaneous inputs to areas  and  Most of the further processing that allows tactile recognition of objects involves somatosensory areas of the lateral sulcus where both S-II and the parietal ventral area PV receive activating inputs from areas a b  and  S-II also projects to PV and to a parietal rostral area where further connections with the amygdala and hippocampus may occur to allow the formation of tactile memories Areas of anterior parietal cortex also project to posterior parietal cortex where regions of cortex are largely somatosensory but the functional subdivisions remain uncertain All of the somatosensory fields have access to motor areas of the frontal lobe but the magnitude and targets of the projections differ	VENTROPOSTERIOR NUCLEUS; AREA-3B; POSTERIOR PARIETAL CORTEX; 2ND SOMATOSENSORY AREA; PRIMARY SOMATOSENSORY CORTEX; BODY-SURFACE REPRESENTATIONS; POSTCENTRAL PARIETAL CORTEX; MONKEY AOTUS-TRIVIRGATUS; SOMATIC SENSORY CORTEX; SQUIRREL-MONKEYS; MACAQUE MONKEYS; SOMATOTOPIC ORGANIZATION; CORTICAL CONNECTIONS; LATERAL SULCUS; RHESUS-MONKEY
1815								10.1093/cercor/10.3.206	10731217.0		https://academic.oup.com/cercor/article/10/3/206/449565	https://academic.oup.com/cercor/article-pdf/10/3/206/9751035/100206.pdf	The Organization of Networks within the Orbital and Medial Prefrontal Cortex of Rats; Monkeys and Humans	This paper reviews architectonic subdivisions and connections of the orbital and medial prefrontal cortex OMPFC in rats monkeys and humans Cortico-cortical connections provide the basis for recognition of medial and orbital networks within the OMPFC These networks also have distinct connections with structures in other parts of the brain The orbital network receives sensory inputs from several modalities including olfaction taste visceral afferents somatic sensation and vision which appear to be especially related to food or eating In contrast the medial network provides the major cortical output to visceromotor structures in the hypothalamus and brainstem The two networks have distinct connections with areas of the striatum and mediodorsal thalamus In particular projections to the nucleus accumbens and the adjacent ventromedial caudate and putamen arise predominantly from the medial network Both networks also have extensive connections with limbic structures Based on these and other observations the OMPFC appears to function as a sensoryvisceromotor link especially for eating This linkage appears to be critical for the guidance of reward-related behavior and for setting of mood Imaging and histological observations on human brains indicate that clinical depressive disorders are associated with specific functional and cellular changes in the OMPFC including activity and volume changes and specific changes in the number of glial cells	MIDBRAIN PERIAQUEDUCTAL GRAY; MEDIODORSAL THALAMIC NUCLEUS; MACAQUE MONKEYS; RHESUS-MONKEY; FRONTAL-CORTEX; CORTICAL PROJECTIONS; AFFERENT CONNECTIONS; ORBITOFRONTAL CORTEX; TOPOGRAPHICAL ORGANIZATION; EFFERENT PROJECTIONS
1827								10.1111/j.1749-6632.1995.tb38127.x	8595019.0		https://onlinelibrary.wiley.com/doi/10.1111/j.1749-6632.1995.tb38127.x	https://nyaspubs.onlinelibrary.wiley.com/doi/epdf/10.1111/j.1749-6632.1995.tb38127.x	Anatomic and Behavioral Aspects of Frontal-Subcortical Circuitsa	Five parallel circuits connect discrete regions of the frontal lobes with specific subregions of the striatum; globus pallidus; and thalamus. One circuit mediates motor function; another eye movements; and three of the circuits mediate cognitive; emotional; and motivational processes. The circuits serve as organizational axes integrating related information from widespread areas of the brain and mediating diverse behaviors. This review describes the anatomy of the circuits and the major transmitters present within the circuits. Circuit-specific behaviors (those that appear to be mediated exclusively by circuit structures) and circuit-related behaviors (those that involve both circuit and noncircuit structures) are discussed. Drugs that alter behavior through effects on the circuits are presented. The three circuits that are most relevant to understanding behavior are emphasized.	OBSESSIVE-COMPULSIVE DISORDER; BASAL GANGLIA; PARKINSONS-DISEASE; RHESUS-MONKEY; STRIATOPALLIDAL SYSTEM; PARALLEL ORGANIZATION; THALAMIC INFARCTION; HUNTINGTONS-DISEASE; PREFRONTAL CORTEX; SECONDARY MANIA
4508				Y	Y	D	review	10.1017/s095252381700013x	30034107.0	PMC6054447	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6054447/	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6054447/pdf/nihms964093.pdf	A cross-species comparison of corticogeniculate structure and function	The corticogeniculate circuit is an evolutionarily conserved pathway linking the primary visual cortex with the visual thalamus in the feedback direction While the corticogeniculate circuit is anatomically robust the impact of corticogeniculate feedback on the visual response properties of visual thalamic neurons is subtle Accordingly discovering the function of corticogeniculate feedback in vision has been a particularly challenging task In this review the morphology organization physiology and function of corticogeniculate feedback is compared across mammals commonly studied in visual neuroscience primates carnivores rabbits and rodents Common structural and organizational motifs are present across species including the organization of corticogeniculate feedback into parallel processing streams in highly visual mammals	Corticogeniculate; V; LGN
2475	N	Y		Y	Y	D		10.1093/cercor/4.3.215	8075528.0		https://academic.oup.com/cercor/article/4/3/215/341672	https://academic.oup.com/cercor/article-pdf/4/3/215/977526/4-3-215.pdf	A Numerical Analysis of the Geniculocortical Input to Striate Cortex in the Monkey	Using data that are available in various publications a quantitative analysis has been made of the geniculocortical input to layer IVC of the macaque striate cortex The data suggest that only  of the excitatory or asymmetric synapses in layer IVCα of striate cortex are provided by the neurons of the magnocellular layers of the LGN This amounts to only  of the  asymmetric synapses that the average layer IVCα neuron receives The parvicellular afferents to layer IVCβ on the other hand provide  of the asymmetric synapses formed by the average layer IVCβ neuron or  synapses to each neuron If it is assumed that the boutons in the geniculocortical axonal plexuses are evenly spread it can be calculated that the input to an individual layer IVC neuron is provided by some  axonal plexuses This is regardless of whether the neuron lies in layer IVCα or in IVCβ This calculation suggests that a single axonal plexus provides not more than one or two of the excitatory synapses received by an individual layer IVCα neuron and between one and eight excitatory synapses for a layer IVCβ neuron Consequently it is unlikely that the response properties of a particular cortical neuron are dominated by its input from a single geniculate neuron Since the geniculocortlcal input essentially determines the response properties of neurons in layer IV of macaque striate cortex it is surprising that this input amounts to such a small number of synapses to an individual neuron although we obtained a somewhat similar result in our earlier quantitative analysis of the geniculate input to the striate cortex of the cat Peters and Payne  But it has to be questioned whether the low values obtained are correct Interestingly the geniculocortical input to cortex has been largely neglected in favor of analyses of intracortical circuitry but in view of the basic importance of this afferent input it is suggested that more quantitative data about it should be generated so that a better assessment can be made of its extent	
1939				Y	Y	D		10.1016/s0165-0173(96)00011-2	8957561.0		https://linkinghub.elsevier.com/retrieve/pii/S0165017396000112	://linkinghub.elsevier.com/	Circuitry and functional aspects of the insular lobe in primates including humans	The progress made in understanding the insula in the decade following an earlier review Augustine Neurol Res    is examined in this review In these ten years connections have been described between the insula and the orbital cortex frontal operculum lateral premotor cortex ventral granular cortex and medial area  in the frontal lobe Insular connections between the second somatosensory area and retroinsular area of the parietal lobe have been documented The insula was found to connect with the temporal pole and the superior temporal sulcus of the temporal lobe It has an abundance of local intrainsular connections and projections to subdivisions of the cingulate gyrus The insula has connections with the lateral lateral basal central cortical and medial amygdaloid nuclei It also connects with nonamygdaloid areas such as the perirhinal cortex entorhinal and periamygdaloid cortex The thalamic taste area the parvicellular part of the ventral posteromedial nucleus projects fibers to the ipsilateral insular-opercular cortex In the past decade confirmation has been given to the insula as a visceral sensory area visceral motor area motor association area vestibular area and language area Recent studies have expanded the role of the insula as a somatosensory area emphasizing its multifaceted sensory role The idea of the insula as limbic integration cortex has been affirmed and its role in Alzheimers disease suggested	Insula; Insular lobe; Insular cortex; Cerebral cortex; Primate; Human;
6												https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=086111ccf8db5585f16a54ba754ea75ebac97d6c	Connexions of the somatic sensory cortex of the rhesus monkey: III.—thalamic connexions		
36									17104630.0	PMC1252781	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1252781/	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1252781/pdf/janat00530-0016.pdf	The Termination of Ascending Tracts in the Thalamus of the Macaque Monkey		
51												https://journals.physiology.org/doi/pdf/10.1152/jn.1977.40.6.1339	Body representation in ventrobasal thalamus of macaque: a single-unit analysis		
84												https://journals.physiology.org/doi/pdf/10.1152/jn.1944.7.3.171	EXPERIMENTAL HYPOGEUSIA FROM HORSLEY-CLARKE LESIONS OF THE THALAMUS IN MACACA MULATTA		
104									21434138.0	PMC2601459	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2601459/	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2601459/pdf/yjbm00498-0072.pdf	Localization of Taste in the Thalamus of Macaca mulatta *		
119												https://www.hifo.uzh.ch/dam/jcr:00000000-2999-c151-ffff-ffffd9509b89/paper_CorticalArea8.pdf	Cortical area 8 and its thalamic projection in Macaca mulatta		
170								10.1152/jn.1949.12.2.85	18114363.0		https://journals.physiology.org/doi/10.1152/jn.1949.12.2.85	https://journals.physiology.org/doi/epdf/10.1152/jn.1949.12.2.85	PATTERN OF TACTILE REPRESENTATION IN THALAMUS OF CAT		
174												https://www.cell.com/neuron/pdf/S0896-6273(11)00557-5.pdf	Cognitive and perceptual functions of the visual thalamus		
177				N		D						https://www.cell.com/neuron/pdf/S0896-6273(09)00170-6.pdf	Parallel processing in the corticogeniculate pathway of the macaque monkey		
188									17104607.0	PMC1249139	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1249139/	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1249139/pdf/janat00537-0003.pdf	The Thalamic Connections of the Temporal Lobe of the Brain in the Monkey		
200				N		D						https://www.cell.com/neuron/pdf/S0896-6273(02)00718-3.pdf	Magnetic resonance imaging of neuronal connections in the macaque monkey		
208												https://www.cell.com/neuron/pdf/S0896-6273(07)00768-4.pdf	Gain modulation by nicotine in macaque v1		
254								10.3389/fnsys.2015.00039	25852498.0	PMC4362213	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4362213/	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4362213/pdf/fnsys-09-00039.pdf	The cognitive thalamus		mediodorsal thalamus; anterior thalamus; intralaminar thalamus; thalamocortical interactions; pulvinar
256								10.1016/0006-8993(75)90079-7	1111842.0		https://linkinghub.elsevier.com/retrieve/pii/0006899375900797	://linkinghub.elsevier.com/	Subcortical afferents to the frontal lobe in the rhesus monkey studied by means of retrograde horseradish peroxidase transport		
260												https://journals.physiology.org/doi/pdf/10.1152/jn.1953.16.5.499	Cortical organization in gustation (Macaca mulatta)		
263												https://journals.physiology.org/doi/pdf/10.1152/jn.1981.45.1.59	Thalamic input to areas 3a and 2 in monkeys.		
293												https://journals.physiology.org/doi/pdf/10.1152/jn.1974.37.1.119	Differential contributions of spinal pathways to body representation in postcentral gyrus of Macaca mulatta.		
297												https://journals.physiology.org/doi/pdf/10.1152/jn.1938.1.2.176	The direct functional interrelation of sensory cortex and optic thalamus		
310								10.1016/0165-0173(79)90008-0	394815.0		https://linkinghub.elsevier.com/retrieve/pii/0165017379900080	://linkinghub.elsevier.com/	Thalamocortical synaptic relations: A review with emphasis on the projections of specific thalamic nuclei to the primary sensory areas of the neocortex		thalamocortex; synapse; neocortex; somatosensory cortex; electron microscopy;
314								10.1159/000106279			https://karger.com/cfn/article-abstract/1/1/99/68904/The-Thalamus-of-the-Chimpanzee-pp-99-109I?redirectedFrom=fulltext		The Thalamus of the Chimpanzee. pp. 99–109: I. Terminations of the Somatic Afferent Systems		
327												https://www.annualreviews.org/doi/pdf/10.1146/annurev.ne.11.030188.001345	Anatomical organization of macaque monkey striate visual cortex		
350												http://zsp.com.pk/pdf48/575-581%20(38)%20QPJZ-0063-2015%2017-12-15%20Longitudinal%20Metabolic%20Changes%20in%20the%20Thalamus%20o_.pdf	Longitudinal Metabolic Changes in the Thalamus of Macaque Brain During 42-Day Head Down Tilt.		
354											https://neuro.psychiatryonline.org/doi/full/10.1176/jnp.16.2.127	https://neuro.psychiatryonline.org/doi/reader/10.1176/jnp.16.2.127	The Limbic Thalamus		
363												https://www.cell.com/neuron/pdf/S0896-6273(01)00582-7.pdf	Thalamic relay functions and their role in corticocortical communication: generalizations from the visual system		
377												https://link.springer.com/content/pdf/10.1007/978-3-030-23810-0_24.pdf	Cerebellar thalamic and thalamocortical projections		
379												https://thejns.org/downloadpdf/journals/j-neurosurg/50/3/article-p290.pdf	Physiological study of presumed ventralis intermedius neurons in the human thalamus		
391												https://deepblue.lib.umich.edu/bitstream/handle/2027.42/74092/annals.1300.030.pdf?sequence=1	Expression of ARHGEF11 mRNA in schizophrenic thalamus		
395								10.2183/pjab1945.43.822			https://www.jstage.jst.go.jp/article/pjab1945/43/8/43_8_822/_article	https://www.jstage.jst.go.jp/article/pjab1945/43/8/43_8_822/_pdf/-char/en	Some Observations on the Cortico-thalamic Fiber Connections in the Monkey		
402								10.1002/cne.900880105	18900818.0		https://onlinelibrary.wiley.com/doi/10.1002/cne.900880105	https://onlinelibrary.wiley.com/doi/epdf/10.1002/cne.900880105	Commissural fibers of the macaque thalamus. An experimental study		
411								10.1002/cne.901040106	13306829.0		https://onlinelibrary.wiley.com/doi/10.1002/cne.901040106	https://onlinelibrary.wiley.com/doi/epdf/10.1002/cne.901040106	Cortical projection of the thalamic ventrolateral nuclear group in monkeys†		
453								10.1016/0006-8993(78)90464-x	414821.0		https://linkinghub.elsevier.com/retrieve/pii/000689937890464X	://linkinghub.elsevier.com/	Patch-like termination of thalamic fibers in the putamen of the rhesus monkey: an autoradiographic study		
459												https://synapse.koreamed.org/upload/synapsedata/pdfdata/0069ymj/ymj-55-709.pdf	Thalamocortical connections between the mediodorsal nucleus of the thalamus and prefrontal cortex in the human brain: a diffusion tensor tractographic study		
460												https://www.cell.com/cell-reports/pdf/S2211-1247(23)00855-0.pdf	The non-specific matrix thalamus facilitates the cortical information processing modes relevant for conscious awareness		
462												https://www.cell.com/current-biology/pdf/S0960-9822(15)01419-0.pdf	Primate thalamus: more than meets an eye		
478								10.1016/0166-4328(95)00188-3	8734040.0		https://linkinghub.elsevier.com/retrieve/pii/0166432895001883	://linkinghub.elsevier.com/	Anatomical substrates for early stages in cortical processing of visual information in the macaque monkey		Primate; Parallel pathway; Neuroanatomy; Striate cortex; Prestriate cortex; Visual system;
479												https://www.cell.com/current-biology/pdf/S0960-9822(20)30734-X.pdf	Long-term value memory in the primate posterior thalamus for fast automatic action		
498				N		D						https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=688606a4c63ae8b859bf38b75ccc1ea96d5c5111	Connexions of the somatic sensory cortex of the rhesus monkey: I.—Ipsilateral cortical connexions		
506								10.1002/cne.901170207	13872115.0		https://onlinelibrary.wiley.com/doi/10.1002/cne.901170207	https://onlinelibrary.wiley.com/doi/epdf/10.1002/cne.901170207	The termination of secondary somatosensory neurons within the thalamus of Macaca mulatta: An Experimental Degeneration Study†		
507								10.1152/jn.1963.26.5.775	14065328.0		https://journals.physiology.org/doi/10.1152/jn.1963.26.5.775	https://journals.physiology.org/doi/epdf/10.1152/jn.1963.26.5.775	THE FUNCTIONAL PROPERTIES OF VENTROBASAL THALAMIC NEURONS STUDIED IN UNANESTHETIZED MONKEYS		
512									5325779.0	PMC1270718	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1270718/	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1270718/pdf/janat00421-0083.pdf	Correlation between nuclear morphology and somatotopic organization in ventro-basal complex of the raccoon's thalamus.		
514												https://journals.physiology.org/doi/pdf/10.1152/jn.1981.46.3.672	Retinotopic organization of macaque pulvinar.		
530												https://ruor.uottawa.ca/bitstream/10393/8164/1/NK25433.PDF	Projections of the superior colliculus to the thalamus in the monkey; Macaca mulatta: a light and electron microscopic study.		
556								10.1152/jn.1981.46.2.369	6267219.0		https://journals.physiology.org/doi/10.1152/jn.1981.46.2.369	https://journals.physiology.org/doi/epdf/10.1152/jn.1981.46.2.369	Visual properties of neurons in a polysensory area in superior temporal sulcus of the macaque.		
564											https://ajp.psychiatryonline.org/doi/pdf/10.1176/ajp.96.2.507		The Primate Thalamus		
567								10.1016/0006-8993(75)90569-7	809109.0		https://linkinghub.elsevier.com/retrieve/pii/0006899375905697	://linkinghub.elsevier.com/	Extrageniculate projections to layers VI and I of striate cortex (area 17) in the rhesus monkey (Macaca mulatta)		
575								10.1111/j.1460-9568.1989.tb00774.x	12106174.0		https://onlinelibrary.wiley.com/doi/10.1111/j.1460-9568.1989.tb00774.x	https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1460-9568.1989.tb00774.x	Hunger Modulates the Responses to Gustatory Stimuli of Single Neurons in the Caudolateral Orbitofrontal Cortex of the Macaque Monkey		
583									17104851.0	PMC1252658	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1252658/	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1252658/pdf/janat00515-0037.pdf	The angioarchitecture of the thalamus in the rabbit		
591												https://www.ijpp.com/IJPP%20archives/1981_25_3/201-208.pdf	Experimental spike and wave EEG pattern from thalamic stimulation in anaesthetized juvenile monkeys		
592								10.1002/cne.900640102			https://onlinelibrary.wiley.com/doi/10.1002/cne.900640102	https://onlinelibrary.wiley.com/doi/epdf/10.1002/cne.900640102	An experimental study of the thalamo-cortical projection of the macaque monkey		
600								10.1016/0304-3959(81)90503-0			https://journals.lww.com/pain/citation/1981/08001/potentials_evoked_in_thalamic_nuclei_by_dental.298.aspx	://journals.lww.com/	Potentials evoked in thalamic nuclei by dental pulp and cutaneous facial stimulation in the awake; unanesthetized macaque		
602								10.1016/0006-8993(79)90658-9	105784.0		https://linkinghub.elsevier.com/retrieve/pii/0006899379906589	://linkinghub.elsevier.com/	Contralateral projections to the dorsal thalamus from frontal association cortex in the rhesus monkey		
605	Y	Y	N	N		R/D/A	seems a TT study on neurons in the basal forebrain of the monkey directly and without a thalamic relay to neocortex; R: Is a tracing study using HRP, but studies connections that bypass Thalamus					https://bpb-us-e1.wpmucdn.com/sites.northwestern.edu/dist/7/2577/files/2018/08/23-Mesulam-2oebbn3.pdf	Acetylcholinesterase-rich projections from the basal forebrain of the rhesus monkey to neocortex		
612								10.1016/0165-0173(80)90002-8	6994855.0		https://linkinghub.elsevier.com/retrieve/pii/0165017380900028	://linkinghub.elsevier.com/	What is area 3a?		area a; muscle afferents; sensory-motor interactions; cerebral cortex; position sense; movement;
617												https://journals.physiology.org/doi/pdf/10.1152/jn.1943.6.2.121	FUNCTIONAL ORGANIZATION OF TEMPORAL LOBE OF MONKEY (MACACA MULATTA) AND CHIMPANZEE (PAN SATYRUS)		
619												https://journals.physiology.org/doi/pdf/10.1152/jn.1938.1.4.364	Sensorimotor cortex; nucleus caudatus and thalamus opticus		
