INDEX	TT?(Y/N/MB/NA)	MACAQUE?(Y/N/MB/NA)	TC_OR_CT?(Y/N/MB/NA)	RELEVANT?(Y/N/MB/NA)	REVIEW(Y/N)	READ_BY(A/D/R)	COMMENT	DOI	PMID	PMCID	FULL_TEXT_URL	PDF_URL	TITLE	ABSTRACT	KEYWORDS
42	Y	Y	Y	Y		D/A		parietal lobe; primate; thalamus; retrograde and anterograde tracing; axon terminal; BDA; AChE; acetylcholinesterase; BDA; biotinylated dextran amine; CL; central lateral nucleus; CM; center median nucleus; CT; corticothalamic; FEF; frontal eye field; FR; Fluro-Ruby; IPS; intraparietal sulcus; IT; infero-temporal area; LP; lateral posterior nucleus; MD; mediodorsal nucleus; MK; monkey ; MK; monkey ; PMd-c; caudal part of dorsal premotor cortex; PMd-r; rostral part of dorsal premotor cortex; PMv-c; caudal part of ventral premotor cortex; PMv-r; rostral part of ventral premotor cortex; Pu; pulvinar nucleus; PuA; anterior pulvinar; PuL; lateral pulvinar; PuM; medial pulvinar; TC; thalamocortical; VA; ventral anterior nucleus; VLa; ventral lateral anterior nucleus; VPI; ventral posterior inferior nucleus; VPL; ventral posterior lateral nucleus; WGA; wheat germ agglutinin;							
142	Y	Y	Y	Y		D	SMA receives strong indirect projections from the GPi via the thalamus; not sure if thalamic neucli are specified	Supplementary motor area; Thalamus; Globus pallidus; Double labeling technique; Monkey;	Y	Y	Y	Y		D	SMA receives strong indirect projections from the GPi via the thalamus; not sure if thalamic neucli are specified
459				N		D	humans, not TT								
1075	Y	Y	Y	Y		D/A		Spinothalamic terminal; Thalamocortical cell; Anterograde transport; Retrograde transport; Squirrel monkey; Macaque monkey; Nociception;							
277				N		D/A	No document available, seems to be a book chapter								
2165				N		D		SUPERIOR TEMPORAL SULCUS; POSTERIOR PARIETAL CORTEX; FRONTAL EYE FIELD; RHESUS-MONKEY; CORTICOPONTINE PROJECTION; HORSERADISH-PEROXIDASE; MACACA-FASCICULARIS; MACAQUE MONKEY; BASIS PONTIS; CORTICOTHALAMIC CONNECTIONS							
1001	Y	Y	Y	Y		D/A		ventral posterior nucleus; area b; cortical plasticity; somatotopic representation; Phaseolus vulgaris;leukoagglutinin; fluorescent dextrans							
2459	Y	Y	Y	Y		D/A		second somatosensory area; primates; corticothalamic connections;							
11	Y	Y	Y	Y		D/A									
855	N	Y		N		D/A	ephys								
53	Y	Y	Y	Y		D/A		area ; area ; area ; posterior parietal cortex; topographic connections							
126	Y	Y	Y	N		D/A	Prematurely newborn macaque, all results comparable to an adult, so we do not include this reference.								
242	Y	Y	Y	Y		D/A		auditory system; corticothalamic; monkey; motor system; somatosensory system; tracing							
89	Y	Y	Y	Y		D/A	Both from SMA to Thalamus and from Pallidum and Cerebellum to thalamus	Key wordsMotor systems; Basal ganglia; Thalamus; Biotinylated dextran amine; WGA-HRP; Cholera toxin subunit B;							
917				N		D	Hedgehog (Erinaceus europaeus)	THALAMOCORTICAL PROJECTIONS; CORTICOTHALAMIC PROJECTIONS; EVOLUTION; RETROGRADE TRACING; ANTEROGRADE TRACING; CORTICAL LARYNX AREA; TETRAMETHYL BENZIDINE; MACACA-FASCICULARIS; PREFRONTAL CORTEX; REACTION-PRODUCT; VISUAL-CORTEX; NEONATAL RAT; PROJECTIONS; NUCLEUS; AFFERENTS							
904				N		D	the Siberian hamster (Phodopus sungorus) and the Guinea pig (Cavia aperta) was investigated with the HRP-method and compared with that of the new world primate marmoset (Callithrix jacchus)	Thalamocortical topography; Topological organization; Marmoset; Comparative anatomy; Rodents;							
76	Y	Y	Y	Y		D/A									
191	Y	Y	Y	Y		D/A	full of typos already in the abstract, but author is relatively famous Edward G Jones								
923	Y	Y	Y	Y		D/A		somatosensory thalamus; WGAHRP; -deoxyglucose; cytochrome oxidase; thalamic rod;							
1134				N		D	Human Visual System During Fetal Mid-Gestation	Corticothalamic; DiI; Lateral Geniculate Nucleus; Retina; Striate Cortex; Subplate; Thalamocortical;							
531	Y	Y	Y	N		D/A	Only focus on properties of synapses. Strange assumption about what PV inmunohistology marks, they say it is thalamocortical synapses, but PV interneurons would also be labelled. Strange analysis, unreliable.	Thalamocortical; Synaptic morphology; Electron microscopy; Tract tracing; Parvalbumin;							
975				N		D	wallaby (Macropus eugenii)	electron microscopy; marsupial; waiting period; CORTICOTHALAMIC PROJECTIONS; HORSERADISH-PEROXIDASE; CEREBRAL-CORTEX; MACAQUE MONKEY; EARLY INGROWTH; RAT; SUBPLATE; CONNECTIONS; PATHWAY; NEURONS							
416				Y	Y	D/A	review on multiple animals	Rodent; Cat; Monkey; Tracing; Thalamus; Auditory cortex; Visual cortex; Motor cortex; Somatosensory cortex;							
310				Y	Y	D/A	review, may be considered as relevant	thalamocortex; synapse; neocortex; somatosensory cortex; electron microscopy;							
151	Y	Y	Y	Y		D/A									
194	Y	Y	Y	Y		D/A		Frontal lobe; Primate; Motor thalamus; Anterograde tracing; Axon terminal;							
147	Y	Y	Y	Y		D	posterior parietal cortex (PPC) to the ventral lateral thalamic nucleus (VL) and three thalamic association nuclei, mediodorsal (MD), lateral posterior (LP) and pulvinar	Association cortex; Area b; BDA axonal tracing; Motor thalamus; Synaptic ultrastructure; Corticothalamic afferents; Mediodorsal nucleus; Lateral posterior nucleus;	Y	Y	Y	Y		D	posterior parietal cortex (PPC) to the ventral lateral thalamic nucleus (VL) and three thalamic association nuclei, mediodorsal (MD), lateral posterior (LP) and pulvinar
945				N		D	marmoset monkeys (Callithrix jacchus)	primate; auditory cortex; thalamus; medial geniculate; medial pulvinar; SUPERIOR TEMPORAL GYRUS; CORTICAL CONNECTIONS; ASSOCIATION CORTEX; RHESUS-MONKEY; THALAMOCORTICAL CONNECTIONS; MULTISENSORY CONVERGENCE; LAMINAR DISTRIBUTION; SOMATOSENSORY INPUT; PREFRONTAL CORTEX; VISUAL AREAS							
903	Y	Y	Y	Y		D/A		corticothalamic axon morphology; corticothalamic terminal distribution; motor thalamus; BDA tracing; monkey; MACACA-MULATTA THALAMUS; POSTERIOR PARIETAL CORTEX; VENTRAL LATERAL NUCLEUS; MEDIODORSAL NUCLEUS; SYNAPTIC ORGANIZATION; SUPPLEMENTARY MOTOR; RHESUS-MONKEY; CORTICOSPINAL PROJECTIONS; SOMATOTOPIC ORGANIZATION; FUNCTIONAL-ORGANIZATION							
182	Y	Y	Y	Y		D/A	TT; macaque; but in four macaque monkeys with long-standing, accidental trauma to a forelimb,  D: dones not look like TT but rather lesion, not sure why this was labeled as Y before; D: Small injections of a bidirectional tracer, either wheat germ agglutinin conjugated to horseradish peroxidase (WGA-HRP) or fluoro ruby, were made into somatosensory cortical area 1 of three normal macaque monkeys and four monkeys; indeed includes injection in the normal macaques		Y	Y	Y	Y		D	TT; macaque; but in four macaque monkeys with long-standing, accidental trauma to a forelimb
96	Y	Y	Y	Y		D/A		Presupplementary motor area; Thalamocortical projections; Premotor areas; Motor control; Voluntary movement; Primates; AD; anterodorsal nucleus of the thalamus; AM; anteromedial nucleus of the thalamus; AV; anteroventral nucleus of the thalamus; Cd; caudate nucleus; CeM; centromedial nucleus of the thalamus; CL; centrolateral nucleus of the thalamus; CM; centre médian nucleus of the thalamus; Fr; fasciculus retroflexus; GPe; external segment of the globus pallidus; GPi; internal segment of the globus pallidus; IAM; interanteromedial nucleus of the thalamus; LD; laterodorsal nucleus of the thalamus; LG; lateral geniculate body; LP; lateroposterior nucleus of the thalamus; MD; mediodorsal nucleus of the thalamus; MG; medial geniculate body; Mt; mammillothalamic tract; Pcn; paracentral nucleus of the thalamus; Pf; parafascicular nucleus of the thalamus; Pulo; oral division of the pulvinar; Put; putamen; R; reticular nucleus of the thalamus; Re; reuniens nucleus of the thalamus; Rh; rhomboid nucleus of the thalamus; STN; subthalamic nucleus; VApc; parvicellular division of the ventroanterior nucleus of the thalamus; VAmc; magnocellular division of the ventroanterior nucleus of the thalamus; VLc; caudal division of the ventrolateral nucleus of the thalamus; VLm; medial division of the ventrolateral nucleus of the thalamus; VLo; oral division of the ventrolateral nucleus of the thalamus; VPI; ventroposteroinferior nucleus of the thalamus; VPLc; caudal division of the ventroposterolateral nucleus of the thalamus; VPLo; oral division of the ventroposterolateral nucleus of the thalamus; VPM; ventroposteromedial nucleus of the thalamus; VPMpc; parvicellular division of the VPM; X; area X of the thalamus;							
952	N			N		D/A	Review	LATERAL GENICULATE-NUCLEUS; METABOTROPIC GLUTAMATE RECEPTORS; CONTRAST GAIN-CONTROL; ELECTRON-MICROSCOPIC ANALYSIS; POSTERIOR-PULVINAR COMPLEX; STRIATE-RECIPIENT ZONE; CORTICOTHALAMIC PROJECTIONS; SUPERIOR COLLICULUS; MACAQUE MONKEY; PHA-L							
2567	Y	Y	Y	Y		D/A	Jones' papers are very qualitative, difficult to draw quantitative data from them.	Sensory Cortex; Basal Dendrite; Retrograde Axonal Transport; Contralateral Cortex; Thalamic Input;							
232	Y	Y	Y	Y		D		Macaca mulatta; mediodorsal thalamic nucleus; anterior thalamic nuclei; layer V pyramidal neurons; cortico-thalamic pathway							
910				N		D	Otolemur garnetti	anatomical tracing; long-train stimulation; motor thalamus; primate; pulvinar; THALAMIC RETICULAR NUCLEUS; IPSILATERAL CORTICAL CONNECTIONS; COMPLEX MOVEMENTS; ARCHITECTONIC SUBDIVISIONS; SOMATOSENSORY CORTEX; INTRAPARIETAL SULCUS; PULVINAR NUCLEUS; RHESUS-MONKEY; CORTICOCORTICAL CONNECTIONS; ELECTRICAL-STIMULATION							
143	Y	Y	Y	Y		D		Cerebellum; Thalamus; Posterior parietal cortex; Multiple tracing study; Cortical field potential; Cognitive function;							
20	Y	Y	Y	Y		D/A	nigrothalamocortical system: Substantia Nigra to thalamus to cortex.								
636	Y	Y	Y	Y		D/A									
2418	Y	Y	Y	Y		D/A									
901	Y	Y		Y		D/A	Opto/ephys of corticothalamic pathway. Some labeling via viral vectors	CV; ChR; motor cortex; motor thalamus; optogenetics; single unit recording							
1189				N		D	rat	EARLY POSTNATAL-DEVELOPMENT; VASOACTIVE INTESTINAL POLYPEPTIDE; IDENTIFIED PROJECTION NEURONS; GABA-IMMUNOREACTIVE NEURONS; CENTRAL NERVOUS-SYSTEM; CAT CEREBRAL-CORTEX; SUBPLATE NEURONS; WHITE MATTER; OCCIPITAL CORTEX; RHESUS-MONKEY							
374	Y	Y	Y	Y		D/A									
5544				N		D	cats								
438	N			N		D									
867	N			N		D/A	No data								
380	Y	Y		Y		D		Monkey; Cerebellar nucleus; Thalamic medial dorsal nucleus; Premotor cortex; Fluorescent dye; Horseradish peroxidase;							
2535	N	Y		N		D/A	Lesion induced labelling	Monkey; Auditory cortex; Thalamocortical synapse; Double-labeling immunocytochemistry; γ-Aminobutyric acid; Peptide;							
509	?	Y		Y		D/A	Viral tracer used, 	adeno-associated viral vector; cortex; gene delivery; thalamocortical							
185	Y	Y	Y	Y		D/A									
1193	Y	Y	N	N		D/A	No CT connections reported.	feedback; feedforward; subpopulations of pyramidal neurons; ventral visual pathway; zinc	N			N		D	
517	N			N		D									
758	Y	Y	Y	Y		D	Thalamocortical and intracortical connections of monkey cingulate motor areas; Macaca fuscata		Y	Y	Y	Y		D	Thalamocortical and intracortical connections of monkey cingulate motor areas; Macaca fuscata
1072				N		D	ferrets	geniculocortical; morphology; plasticity; electron microscopy; VESICULAR GLUTAMATE TRANSPORTERS; OCULAR DOMINANCE COLUMNS; MONKEY STRIATE CORTEX; SPINY STELLATE NEURONS; RAT CEREBRAL-CORTEX; MACAQUE MONKEY; PARVALBUMIN IMMUNOREACTIVITY; SYNAPTIC CONNECTIONS; CRITICAL PERIOD; AXONAL ARBORS							
228	Y	Y		Y		D/A									
218	Y	Y		Y		D/A									
349	Y	Y	Y	Y		D	thalamocortical projections to motor area in the macaque monkey	Cerebellar; Pallidal; Basal ganglia; Motor thalamus; Biotinylated dextran amine; Cholera toxin subunit b;	Y	Y	Y	Y		D	thalamocortical projections to motor area in the macaque monkey
586				N		D	lesion; Aspiration lesions of the amygdala disrupt the rhinal corticothalamic projection system in rhesus monkeys	Key wordsMediodorsal nucleus of the thalamus; Rhinal cortex; Corticothalamic projections; Retrograde fluorescent tracer; Monkeys;							
196	N			N		D		thalamus; primates; cell-specific cortical projections; thalamocortical oscillations; perception; cognition; Neuroscience;							
1125				N		D	owl monkey	basal ganglia; motor systems; biotinylated dextran amine; WGA-HRP; cholera toxin subunit B; ADJACENT CINGULATE CORTEX; MACACA-MULATTA THALAMUS; MACAQUE MONKEY; BASAL GANGLIA; GLOBUS-PALLIDUS; RHESUS-MONKEY; INTRACORTICAL MICROSTIMULATION; PALLIDOTHALAMIC PROJECTIONS; SOMATOTOPIC ORGANIZATION; HORSERADISH-PEROXIDASE							
82	Y	Y	Y	Y		D/A		thalamus; medial parietal cortex; posterior cingulate cortex; retrosplenial cortex; precuneus; neuroanatomy							
637	N	Y		N		D/A	ephys, paired recordings								
127	Y	Y	Y	Y		D/A		cingulate cortex; memory; primate; retrosplenial cortex; thalamus	Y	Y	Y	Y		D	
1147	Y	Y	Y	Y		R	corticogeniculate => layer 6 of V1	Visual cortex; Area ; Parallel pathways; Corticothalamic; Lateral geniculate nucleus;	Y	Y	Y	Y		R	corticogeniculate => layer 6 of V1
39	Y	Y		Y		D/A									
949				N		D	rat	SENSORY-MOTOR CORTEX; FRONTAL EYE FIELD; MACAQUE MONKEY; HORSERADISH-PEROXIDASE; EFFERENT CONNECTIONS; MACACA-FASCICULARIS; PREFRONTAL CORTEX; LAMINAR ORIGIN; RHESUS-MONKEY; TOPOGRAPHICAL ORGANIZATION							
92	Y	Y		Y		D/A									
23	Y	Y	Y	Y		D/A									
868		N		N		D	Three squirrel monkeys (Saimiri sciureus) and 5 owl monkeys (Aotus trivirgatus) were studied	intracortical microstimulation; motor cortex; premotor cortex; pulvinar; ventral lateral thalamus							
7	Y	Y	Y	Y		D/A									
41	Y	Y	Y	Y		D	thalamic projections of primary olfactory (olfactory tubercle and prepiriform cortex) and transitional orbital (areas PAPP, Pro 13) and medial (areas 25, 24, 32) areas, and of eulaminate (areas 11, 12, 9) cortices		Y	Y	Y	Y		D	thalamic projections of primary olfactory (olfactory tubercle and prepiriform cortex) and transitional orbital (areas PAPP, Pro 13) and medial (areas 25, 24, 32) areas, and of eulaminate (areas 11, 12, 9) cortices
4957	N			N		D	model								
1088				N		D	cat	spines; thalamocortical; electron microscopy; synapse; SERIAL ELECTRON-MICROSCOPY; CORTICAL AREA V2; DENDRITIC SPINES; MACAQUE MONKEY; BIOPHYSICAL CHARACTERISTICS; POSTSYNAPTIC CALCIUM; ACTION-POTENTIALS; CEREBRAL CORTEX; AMPA RECEPTORS; STELLATE CELLS							
1602	Y	Y		Y		D/A		AXONAL TERMINATIONS; BURST FIRING; CORTICOPULVINAR AXONS; CORTICOTHALAMIC AXONS; PULVINAR; PYRAMIDAL NEURONS; MACAQUE MONKEY; STRIATE CORTEX; RHESUS-MONKEY; PULVINAR; ORGANIZATION; AREA; CONNECTIONS; INFERIOR; SUBDIVISIONS; PROJECTIONS							
878				N		D	New World titi monkeys (Callicebus moloch)								
29	Y	Y	Y	Y		D/A		Pulvinar; Inferotemporal and inferiorparietal cortex; Double-labeled study;							
17	Y	Y	Y	Y		D/A		Thalamus; Frontal cortex; Cortical HRP injections; Thalamo-frontal connexions; Rhesus monkey; Thalamic organization;							
81		Y		Y		D/A	Viral tracers	Optogenetics; Non-human primates; Viral vector delivery; Opsin expression; Sensorimotor cortex; Thalamo-cortical pathway;							
57	Y	Y	N	N		D/A	seems rather spinothalamic projections, cortex is not invloved								
264	Y	Y	Y	Y		D/A		Intracortical electrical stimulation; Motor cortex; Ventral premotor cortex; Thalamocortical; Cerebellum; Basal ganglia							
1135		N		N		D	rat	AMYGDALA; PIRIFORM CORTEX; VENTRAL PALLIDUM; AGRANULAR INSULAR CORTEX; PHASEOLUS-VULGARIS LEUCOAGGLUTININ; SUB-CORTICAL PROJECTIONS; GANGLIA MOTOR CONTROL; BASAL FOREBRAIN; HORSERADISH-PEROXIDASE; AFFERENT CONNECTIONS; EFFERENT PROJECTIONS; SUBSTANTIA NIGRA; RHESUS-MONKEY; FRONTAL-LOBE							
1042				MB		D		cortex; occipital; thalamus; pulvinar; POSTERIOR PARIETAL CORTEX; INFERIOR TEMPORAL CORTEX; MACAQUE MONKEY; SUBCORTICAL CONNECTIONS; CORTICAL CONNECTIONS; LAMINAR DISTRIBUTION; ASSOCIATION CORTEX; PRESTRIATE CORTEX; LATERAL PULVINAR; SQUIRREL-MONKEYS							
115	Y	Y		Y		D/A	superior colliculus (SC) and pulvinar projections in the rhesus monkey								
1033				MB		D	seems not, on thalamic afferents to different layer, especially deep layers L5/6  to activate the layer	PRIMARY SOMATOSENSORY CORTEX; PRIMARY VISUAL-CORTEX; BARREL CORTEX; STRIATE CORTEX; PYRAMIDAL NEURONS; RAT NEOCORTEX; MOUSE; CAT; PROJECTIONS; MACAQUE							
927				MB		D		Cortex; Temporal; Thalamus; Pulvinar; Multimodal; Monkey;							
97	N			N		D	This chapter evaluates current hypotheses and evidence relating to the interaction between thalamocortical and corticocortical circuitry in the dynamic regulation of information flow								
2945	Y	Y	Y	Y		D/A		Monkey somatosensory cortex; Thalamocortical relay cells; Fluorescent dye labelling;							
2521	N			N		D	the same electrodes were utilized to record cerebellothalamocortical responses and corticocortical responses evoked by electrical stimulation	EPSP; excitatory postsynaptic potential; TC; thalamocortical; EMG; electromyogram; EOG; electrooculogram;							
1385	Y	Y	Y	Y		D/A		SINGLE AXONS; CORTICAL COLUMNS; HEARING; PARALLEL AUDITORY PATHWAYS; SOMATIC SENSORY CORTEX; RHESUS-MONKEY; SOMATOSENSORY CORTEX; THALAMOCORTICAL AFFERENTS; FREQUENCY REPRESENTATION; HORSERADISH-PEROXIDASE; CORTICAL CONNECTIONS; MACAQUE MONKEYS; MOTOR CORTEX; CAT THALAMUS							
5114	N			N		D	Functional Organization of the Somatosensory Cortical Layer 6; not TT; laser-scanning photostimulation, which specifically activates somata or dendrites, to stimulate the primary somatosensory cortex	corticothalamic pathway; photostimulation; somatosensory system; thalamic reticular nucleus; thalamus							
911	Y	Y	Y	Y		D/A		thalamocortical; frontal lobe; association cortex; primate; thalamus; POSTERIOR PARIETAL CORTEX; SUPERIOR TEMPORAL SULCUS; FRONTAL EYE FIELDS; POSITRON EMISSION TOMOGRAPHY; INFERIOR PARIETAL; CINGULATE CORTEX; MACAQUE MONKEY; SUBCORTICAL CONNECTIONS; THALAMIC CONNECTIONS; LAMINAR DISTRIBUTION							
405				MB		D		Cerebellar Nucleus; Macaque Monkey; Thalamic Neuron; Biotinylated Dextran Amine; Thalamic Input;							
957	Y	Y	Y	Y		D/A		prefrontal cortex; supplementary eye fields; frontal eye fields; supplementary motor area; premotor cortex; FRONTAL EYE FIELD; PRECENTRAL MOTOR CORTEX; RHESUS-MONKEY; PREFRONTAL CORTEX; MACAQUE MONKEY; MACACA-FASCICULARIS; INTRACORTICAL MICROSTIMULATION; CORTICOTHALAMIC PROJECTIONS; AUTORADIOGRAPHIC ANALYSIS; SUPERIOR COLLICULUS		N		N		D	cynomolgus monkeys
4378	N			N		D		thalamic gateway; thalamocortical system; sensory transfer; selective attention; corticothalamic feedback; synaptic noise; gain control; activity decorrelation							
100	Y	Y	Y	Y		D	TT; Thalamic connections of the core auditory cortex and rostral supratemporal plane in the macaque monkey	rhesus; primate; medial geniculate; pulvinar; thalamus; corticothalamic; RRID AB; RRID AB; RRID AB; RRID AB	Y	Y	Y	Y		D	TT; Thalamic connections of the core auditory cortex and rostral supratemporal plane in the macaque monkey
1059	N			N		D	electrical stimulation to identify corticogeniculate neurons	feedback; corticothalamic; V; LGN; thalamus							
914				MB		D	seems very good review	cognitive control; prefrontal cortex; thalamus; mediodorsal nucleus; ventroanterior nucleus; intralaminar nuclei; anteromedial nucleus; pulvinar; thalamocortical; corticothalamic; basal ganglia							
4242			N	N		D	focus not on connectivity, but on Ultrastructural and Functional Properties of a Giant Synapse Driving the Piriform Cortex to Mediodorsal Thalamus Projection	piriform cortex; mediodorsal thalamus; giant driver synapse; class I synapse; cortico-thalamo-cortical loops; cortico-thalamic synapse; giant synapse; synaptic transmission							
3977				N		D/A	Review with no explicit data in there	core and matrix; cortical layers; divergence; driving; extrastriate cortex; feedforward; multiple scales; multi-specific thalamo-cortical							
721		N		N		D	in man								
785				N		D	Prosimian Primate (Otolemur garnetti)	Motor Thalamus; Ventral Lateral Nucleus; Mediodorsal Nucleus; Supplementary Motor Area; Frontal Eye Field							
1108		N		N		D	rat	corpus striatum; saccades; brain stem; frontal eye field; centromedian nucleus; RETROGRADE AXONAL-TRANSPORT; MONKEYS MACACA-FASCICULARIS; PARIETAL ASSOCIATION CORTEX; HORSERADISH-PEROXIDASE; SQUIRREL-MONKEY; RHESUS-MONKEY; BRAIN-STEM; CORTICAL PROJECTIONS; SAIMIRI-SCIUREUS; MOTOR CORTEX							
95	Y	Y	Y	Y		D/A		Somatosensory neocortex; Sylvian fissure; Electrophysiology; Sensorimotor integration;							
2428	N			N		D	not TT, home-cage sensory association training (SAT)								
4545	N			N		D	we studied anesthesia-induced unconsciousness and recovery using the α2-agonist dexmedetomidine					N		D	
1131		N		N		D	rats	Cortical motor area; Thalamocortical neuron; Corticocortical neuron; Diamidino yellow; Fast blue; Statistical comparison;							
103	Y	Y		Y		D	In normal monkeys, thalamocortical connections were plotted following injections of BDA in D1 representation in Monkeys 09-51NM and 10-31NM, FR in D1 representation in Monkey 11-22NM, and FR in chin representation in Monkey 09-51NM	brain reorganization; dorsal columns; Macaca; plasticity; ventroposterior nucleus							
162				MB		D	not TT, could be relevant review	prefrontal cortex; premotor cortex; thalamic motor nuclei; ventral anterior thalamic nucleus; ventral lateral thalamic nucleus; mediodorsal nucleus; thalamic reticular nucleus; thalamic aphasia; parallel thalamo-cortical circuits; drivers; modulators; thalamic dopaminergic innervation; basal ganglia and thalamus; cerebellum and thalamus							
50				MB		D									
4038				MB		D	seems not, not focus on connectivity	corticothalamic terminals; eye movements; halorhodopsin; monkey; oculomotor thalamus; single neuron activity							
940	N			MB	Y	D	Review	pulvinar; bursts; corticothalamic; drivers; modulators; LATERAL GENICULATE-NUCLEUS; STRIATE-RECIPIENT ZONE; VISUAL CORTICAL PROJECTIONS; CONTRAST GAIN-CONTROL; CORTICOTHALAMIC PROJECTIONS; SYNAPTIC ORGANIZATION; MACAQUE MONKEY; FUNCTIONAL-ORGANIZATION; SUPERIOR COLLICULUS; RESPONSE PROPERTIES							
128	Y	Y		Y		D/A									
4457	N			N		D		Thalamus; Language; Aphasia; Basal Ganglia							
28				MB		D									
686			N	MB		D	nucleus reticularis (NRT) connections with the mediodorsal nucleus (MD)	Primate thalamus; Internal inhibitory circuits; UItrastructure; GABAergic synapse; Synaptic organization;							
631	N			N		D	lesion and Image acquisition at 7T	Diffusion MRI; Probabilistic tractography; Saccades; Target selection; Endothelin-; Nonhuman primates;							
198				MB		D		Inferior pulvinar; Adjacent lateral pulvinar; Topographical; Visual hemifield; Cortico-thalamocortical connections;							
1314		N		N		D	rat	anterograde tracing; caudate-putamen; convergence; sensorimotor integration; neostriatum; thalamus; RAT BARREL CORTEX; BASAL GANGLIA; CORTICOTHALAMIC PROJECTIONS; MACAQUE MONKEY; SOMATOTOPIC ORGANIZATION; INTRACELLULAR INJECTION; HORSERADISH-PEROXIDASE; NEOSTRIATAL NEURONS; ANTEROGRADE TRACER; SQUIRREL-MONKEY							
650				MB		D		spinothalamic tract; motor cortex; thalamus motor; direct relay of afferent input;							
1334	N		N	N		D	Cortical Target Depletion and Ingrowth of Geniculocortical Axons	MAMMALIAN CEREBRAL-CORTEX; PRIMARY VISUAL-CORTEX; LARVAL FROG RETINA; GOLDEN-HAMSTER; SOMATOSENSORY CORTEX; THALAMOCORTICAL AFFERENTS; NEUROTOXIC DESTRUCTION; TERMINAL ARBORS; RHESUS-MONKEY; ADULT-RAT							
425	Y	Y		Y		D/A		Macaque monkeys; Premotor cortex; Area subdivision; Thalamocortical projections; WGA-HRP; Fast blue; Diamidino yellow;							
335				MB		D									
2735	N			N		D	not TT	electron microscopy; nonhuman primates; Parkinsons disease; thalamus; vGluT AB							
960		N		N		D	humans, Magnetic resonance and [18F]-fluorodeoxyglucose positron emission tomography brain images were acquired in 59 healthy subject	magnetic resonance imaging; positron emission tomography; interregional correlation; thalamic nuclei; verbal learning; CEREBRAL GLUCOSE-METABOLISM; CORTICAL BRODMANNS AREAS; SCHIZOTYPAL PERSONALITY-DISORDER; THALAMIC MEDIODORSAL NUCLEUS; MEDIAL PULVINAR CONNECTIONS; POSTERIOR PARIETAL CORTEX; RHESUS-MONKEY; PREFRONTAL CORTEX; MACAQUE MONKEY; CORTICOTHALAMIC CONNECTIONS							
101			N	MB		D	The reticular thalamic nucleus projects to the contralateral dorsal thalamus; connection within the thalamus, exact article Aitor mentioned for intrathalamic connection	Reticular thalamic nucleus; Dorsal thalamus; Contralateral projection;							
618	N	N		N		D	human; not TT	epilepsy; evoked potentials; functional connectivity; human medial pulvinar; thalamocortical pathways;							
245				MB		D	seems not, visual pathways from intravitreal injections to lateral dorsal and anterodorsal thalamic nuclei, cortex not involved	Visual pathways; Limbic system; Primate;							
992				MB		D		monkeys; tracing methods; basal ganglia; parafascicular nucleus; SUPPLEMENTARY MOTOR AREA; SUBSTANTIA-NIGRA; RHESUS-MONKEY; PARS RETICULATA; MACACA-MULATTA; FRONTAL-LOBE; THALAMOCORTICAL PROJECTIONS; NIGROTHALAMIC PROJECTIONS; EFFERENT CONNECTIONS; CEREBELLAR AFFERENTS							
